IDENTIF,RIVER,LOCATION,ERECTED,PURPOSE,LENGTH,LANES,CLEAR-G,T-OR-D,MATERIAL,SPAN,REL-L,label
E24,M,6,1904.957973,RR,2787.562475,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E58,A,10,1922.250515,RR,2063.17722,4,G,THROUGH,STEEL,LONG,F,3
E48,Y,39.7,1919.237912,HIGHWAY,1027.225184,2,N,THROUGH,STEEL,MEDIUM,F,1
E26,M,10,1887.815608,HIGHWAY,1434.017826,2,G,THROUGH,STEEL,MEDIUM,F,3
E24,A,39,1911.496149,RR,1849.083262,2,G,THROUGH,STEEL,MEDIUM,F,3
E43,A,16,1937.959727,HIGHWAY,926.051657,1,G,THROUGH,STEEL,LONG,F,0
E97,M,46,1933.03702,HIGHWAY,919.615227,2,G,THROUGH,STEEL,MEDIUM,S,0
E55,M,23,1909.894251,RR,1982.318537,2,G,THROUGH,STEEL,MEDIUM,F,3
E60,O,41,1914.371232,HIGHWAY,1966.309034,2,G,THROUGH,STEEL,MEDIUM,F,3
E21,A,39,1901.625761,RR,1788.392852,2,G,THROUGH,STEEL,MEDIUM,F,3
E83,M,30,1891.778277,RR,1073.359973,2,G,THROUGH,STEEL,LONG,F,3
E100,O,42,1904.922487,RR,3664.679448,2,G,THROUGH,STEEL,MEDIUM,F,3
E49,M,22,1922.827693,HIGHWAY,826.708651,4,G,DECK,STEEL,MEDIUM,S,0
E36,O,31,1894.094696,RR,1189.786741,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E61,A,29,1882.956388,HIGHWAY,1899.170488,2,G,THROUGH,IRON,SHORT,F,3
E30,M,13,1913.216686,HIGHWAY,2690.964309,4,G,THROUGH,STEEL,LONG,S-F,1
E79,A,39,1811.096118,HIGHWAY,793.719574,4,G,THROUGH,STEEL,MEDIUM,F,4
E72,Y,7,1905.853873,HIGHWAY,1016.852415,2,G,DECK,WOOD,SHORT,S-F,1
E13,A,39,1845.60546,WALK,854.956329,2,N,THROUGH,WOOD,SHORT,S,5
E55,A,4,1822.06199,HIGHWAY,845.113641,4,G,DECK,STEEL,MEDIUM,F,4
E76,M,15,1887.595886,HIGHWAY,1642.634398,2,G,THROUGH,IRON,SHORT,F,3
E67,M,3,1926.200014,HIGHWAY,948.129089,4,G,THROUGH,STEEL,MEDIUM,S-F,0
E68,Y,34,1960.318478,RR,978.7458,2,G,THROUGH,IRON,MEDIUM,F,3
E8,A,29,1974.499894,HIGHWAY,1013.852144,2,G,DECK,STEEL,MEDIUM,S-F,2
E90,A,14,1959.923023,HIGHWAY,1773.289901,4,G,DECK,STEEL,LONG,S-F,2
E72,A,29,1926.759429,HIGHWAY,1019.945398,2,G,THROUGH,STEEL,MEDIUM,S,4
E59,A,20,1890.512412,HIGHWAY,1438.245498,4,G,THROUGH,STEEL,LONG,F,3
E107N,M,5,1962.405365,HIGHWAY,1144.529585,2,G,THROUGH,STEEL,LONG,F,1
E100,M,38.5,1933.909998,HIGHWAY,1452.744079,2,G,DECK,STEEL,SHORT,S,1
E19,A,26,1955.069463,RR,1414.691331,4,G,THROUGH,STEEL,LONG,F,2
E7,A,24,1840.227008,HIGHWAY,782.0295,4,N,THROUGH,IRON,MEDIUM,S,4
E100,M,8,1899.342662,HIGHWAY,995.033612,2,G,THROUGH,STEEL,MEDIUM,F,3
E90,O,23,1908.360157,HIGHWAY,1887.06684,2,N,THROUGH,STEEL,LONG,F,1
E9,A,7,1921.759578,HIGHWAY,989.115636,4,G,THROUGH,STEEL,MEDIUM,S-F,4
E28,M,29,1843.607313,RR,1316.507641,2,N,THROUGH,WOOD,MEDIUM,S-F,3
E50,O,46,1908.63298,HIGHWAY,1518.382219,2,G,THROUGH,STEEL,MEDIUM,F,3
E9,M,38,1943.608376,HIGHWAY,1938.023373,4,G,THROUGH,STEEL,MEDIUM,S-F,2
E54,A,18,1977.28991,HIGHWAY,3013.177459,4,N,THROUGH,STEEL,LONG,F,2
E95,M,29,1832.64299,RR,1199.23918,2,G,THROUGH,STEEL,LONG,F,3
E99,O,35,1908.752921,HIGHWAY,1904.516031,4,G,THROUGH,STEEL,LONG,S-F,1
E55,M,14,1921.602012,HIGHWAY,999.817649,6,G,THROUGH,STEEL,LONG,S-F,0
E99,M,15,1923.910698,HIGHWAY,2843.462118,1,G,THROUGH,STEEL,LONG,F,1
E7,M,10,1976.736991,RR,1342.711636,2,G,THROUGH,STEEL,LONG,F,3
E57,O,46,1911.702575,HIGHWAY,1811.169931,2,G,DECK,STEEL,MEDIUM,F,1
E55,M,12,1899.818154,RR,1422.991913,2,G,THROUGH,STEEL,MEDIUM,F,3
E39,A,24,1869.01762,HIGHWAY,795.432802,1,G,THROUGH,WOOD,SHORT,S,5
E42,O,23,1924.243682,HIGHWAY,1777.100411,2,G,DECK,STEEL,LONG,F,1
E37,A,35,1888.662193,RR,3800.885013,2,G,THROUGH,STEEL,MEDIUM,F,3
E21,M,27,1965.398566,RR,1863.996704,2,G,THROUGH,STEEL,MEDIUM,F,3
E33,A,25,1967.452443,HIGHWAY,1696.984349,2,G,THROUGH,STEEL,MEDIUM,F,3
E107N,A,10,1926.736814,HIGHWAY,1021.169889,2,G,THROUGH,STEEL,MEDIUM,S,3
E45,A,29,1923.646667,HIGHWAY,1951.657196,4,G,DECK,STEEL,MEDIUM,F,0
E22,A,48,1872.951805,AQUEDUCT,1046.852323,2,N,THROUGH,WOOD,MEDIUM,S,5
E40,A,18,1971.548196,HIGHWAY,1376.158165,4,G,THROUGH,STEEL,MEDIUM,F,0
E2,A,36,1867.231882,HIGHWAY,952.986552,2,N,THROUGH,WOOD,SHORT,S,5
E96,Y,38,1885.238225,HIGHWAY,1830.851017,4,G,THROUGH,STEEL,MEDIUM,F,3
E44,A,28,1894.208544,RR,1641.186398,2,G,THROUGH,STEEL,MEDIUM,F,3
E34,A,30,1892.122495,RR,2575.652483,2,G,THROUGH,STEEL,MEDIUM,S,3
E51,M,11,1895.420742,RR,1778.221122,2,G,THROUGH,STEEL,MEDIUM,S,3
E71,A,22,1889.702032,HIGHWAY,1815.22594,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E7,A,11,1917.983213,HIGHWAY,3418.301126,2,G,THROUGH,STEEL,MEDIUM,F,0
E102,A,27,1836.122502,HIGHWAY,1018.855353,1,N,THROUGH,WOOD,MEDIUM,S,5
E49,O,11,1884.0182,HIGHWAY,819.82807,2,G,THROUGH,STEEL,MEDIUM,S,3
E103,M,34,1886.81718,HIGHWAY,922.172494,2,N,DECK,STEEL,MEDIUM,F,2
E86,M,4,1909.338697,HIGHWAY,2003.386667,2,G,THROUGH,STEEL,MEDIUM,F,3
E66,M,24,1958.267029,HIGHWAY,1064.371556,4,N,DECK,IRON,SHORT,S,1
E76,M,2,1885.702533,RR,987.440784,2,G,THROUGH,STEEL,MEDIUM,F,3
E39,M,4,1889.503269,RR,1268.720397,4,G,DECK,STEEL,LONG,F,3
E42,A,13,1884.351891,HIGHWAY,1598.367185,2,G,THROUGH,STEEL,LONG,F,3
E48,M,11,1883.793788,RR,1024.503152,2,N,THROUGH,STEEL,LONG,F,3
E12,M,35,1837.114639,RR,1805.654267,2,N,THROUGH,WOOD,MEDIUM,S,5
E24,O,45,1892.278827,RR,1089.408465,2,G,THROUGH,STEEL,MEDIUM,F,3
E74,Y,44,1958.065445,HIGHWAY,1057.725789,6,G,THROUGH,STEEL,LONG,F,0
E109,M,4,1891.590497,HIGHWAY,1250.72124,2,G,THROUGH,STEEL,MEDIUM,S,3
E64,A,3,1859.951116,HIGHWAY,1082.81076,2,N,THROUGH,WOOD,SHORT,S,5
E32,A,18,1957.085346,RR,1974.22654,2,G,THROUGH,STEEL,MEDIUM,F,3
E23,O,45,1895.9682,HIGHWAY,827.205938,2,G,THROUGH,STEEL,MEDIUM,F,3
E53,A,39.5,1927.161535,RR,2191.906146,4,N,DECK,STEEL,LONG,F,2
E56,A,37,1910.429213,HIGHWAY,1566.099127,2,G,THROUGH,STEEL,LONG,F,3
E108,A,15,1949.758737,RR,2685.180014,2,G,DECK,WOOD,SHORT,S-F,2
E99,M,20,1879.134229,HIGHWAY,960.222179,2,G,THROUGH,WOOD,SHORT,S,5
E86,O,11,1959.482002,HIGHWAY,3916.190299,4,G,DECK,STEEL,MEDIUM,S,2
E18,O,1,1882.210993,RR,3275.897634,2,G,THROUGH,STEEL,MEDIUM,S,3
E28,M,28,1886.540116,HIGHWAY,964.33024,2,G,THROUGH,WOOD,SHORT,S,5
E93,A,28,1825.08998,RR,1174.001803,2,N,THROUGH,IRON,MEDIUM,F,3
E59,M,40,1922.562388,HIGHWAY,1943.426659,4,N,DECK,STEEL,MEDIUM,F,1
E12,A,24,1839.603519,HIGHWAY,1028.016117,2,N,THROUGH,WOOD,SHORT,S,5
E56,A,27,1887.409858,HIGHWAY,2078.097464,2,G,THROUGH,STEEL,MEDIUM,F,3
E108,A,36,1885.525315,RR,2530.470451,2,G,THROUGH,STEEL,MEDIUM,F,3
E11,M,44,1952.239494,HIGHWAY,1787.508597,2,G,DECK,STEEL,LONG,S-F,5
E46,M,23,1885.087908,WALK,1050.024542,2,G,THROUGH,STEEL,LONG,F,3
E3,A,36,1898.38014,HIGHWAY,922.536228,1,G,THROUGH,STEEL,MEDIUM,F,3
E35,A,31,1957.423834,RR,1838.17081,2,G,THROUGH,STEEL,LONG,F,3
E58,A,24,1883.946705,AQUEDUCT,1193.019152,2,N,THROUGH,WOOD,LONG,F,5
E78,O,40,1924.042655,HIGHWAY,1009.802,6,G,THROUGH,STEEL,LONG,F,0
E36,M,25,1945.979042,HIGHWAY,2849.709499,2,G,THROUGH,STEEL,LONG,F,1
E60,M,20,1954.039812,HIGHWAY,1133.876866,4,N,THROUGH,STEEL,LONG,F,2
E109,A,31,1967.316149,RR,1803.869041,2,N,THROUGH,IRON,MEDIUM,F,3
E75,M,48,1908.240849,RR,1290.92092,4,G,THROUGH,STEEL,MEDIUM,F,3
E22,A,49,1871.880161,HIGHWAY,988.88744,2,N,THROUGH,WOOD,MEDIUM,S,5
E21,M,44,1898.931453,RR,1223.727399,2,G,DECK,IRON,LONG,F,3
E26,M,14,1919.11108,HIGHWAY,1547.400675,2,G,THROUGH,STEEL,LONG,S,3
E17,A,39.7,1886.242852,HIGHWAY,2089.548145,2,G,THROUGH,STEEL,MEDIUM,F,3
E1,A,28,1887.175251,RR,1622.165999,2,G,THROUGH,STEEL,SHORT,S,3
E103,M,23,1890.811237,RR,1520.433797,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E102,A,5,1883.584902,HIGHWAY,834.72433,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E95,A,47,1831.122731,HIGHWAY,2023.994159,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E55,M,18,1907.803559,RR,874.190382,2,G,THROUGH,STEEL,LONG,F,3
E61,A,42,1833.401013,WALK,1234.681588,1,N,THROUGH,WOOD,SHORT,S,5
E80,A,49,1964.434885,AQUEDUCT,1046.25915,2,G,THROUGH,STEEL,LONG,F,0
E77,A,24,1928.09531,HIGHWAY,2160.929081,2,G,THROUGH,WOOD,MEDIUM,S,0
E38,O,24,1924.234587,RR,2502.407307,6,G,THROUGH,STEEL,LONG,S-F,0
E87,M,24,1893.252447,HIGHWAY,1247.350255,2,G,THROUGH,STEEL,LONG,F,3
E40,O,30,1910.33496,RR,1573.737537,2,G,DECK,STEEL,SHORT,F,1
E14,A,39.5,1945.671276,RR,1401.195028,4,G,DECK,STEEL,MEDIUM,S-F,2
E29,A,32,1893.029076,RR,1061.513992,2,G,THROUGH,STEEL,MEDIUM,F,3
E109,A,31,1888.182771,HIGHWAY,1731.65124,2,G,THROUGH,STEEL,MEDIUM,F,3
E2,A,10,1825.783423,RR,996.370238,1,N,THROUGH,STEEL,SHORT,S,5
E94,M,11,1907.931203,RR,1914.204838,2,G,THROUGH,STEEL,LONG,F,3
E51,O,51,1944.909484,HIGHWAY,1074.898907,4,G,DECK,STEEL,MEDIUM,S-F,2
E60,O,39.7,1895.180858,RR,1624.666058,2,G,THROUGH,STEEL,MEDIUM,S,3
E48,M,49,1965.348143,HIGHWAY,1670.291874,2,N,THROUGH,IRON,MEDIUM,F,3
E90,M,39,1925.612163,HIGHWAY,1602.546197,2,G,THROUGH,STEEL,LONG,F,4
E43,A,43,1884.604918,HIGHWAY,899.414189,6,N,DECK,IRON,LONG,S,0
E12,Y,5,1925.373116,HIGHWAY,3025.386003,2,N,THROUGH,STEEL,SHORT,S,0
E34,M,11,1859.407939,HIGHWAY,2001.382387,4,N,THROUGH,IRON,SHORT,S,4
E6,A,42,1906.280797,RR,2007.984177,4,G,THROUGH,STEEL,MEDIUM,F,3
E63,O,36,1893.462399,RR,2285.894932,2,G,THROUGH,STEEL,MEDIUM,F,3
E92,A,24,1882.14099,AQUEDUCT,1015.435308,1,G,THROUGH,STEEL,MEDIUM,F,4
E23,A,20,1942.134686,HIGHWAY,904.819146,4,G,THROUGH,STEEL,SHORT,F,0
E27,O,29,1888.189893,HIGHWAY,1412.737969,2,G,THROUGH,STEEL,MEDIUM,F,3
E7,A,16,1889.791685,AQUEDUCT,1995.517203,2,N,THROUGH,WOOD,MEDIUM,S,5
E78,M,22,1899.44336,RR,1306.168344,2,G,THROUGH,STEEL,LONG,F,3
E42,A,43,1881.34116,RR,2488.182925,2,G,THROUGH,STEEL,LONG,F,3
E58,M,2,1887.171352,RR,1130.863188,2,G,THROUGH,STEEL,MEDIUM,F,3
E99,A,21,1834.276832,HIGHWAY,976.202846,2,G,THROUGH,IRON,SHORT,S,4
E34,M,7,1867.666698,HIGHWAY,1966.665439,2,N,DECK,WOOD,SHORT,S,4
E25,M,29,1896.379523,WALK,1036.99215,2,G,THROUGH,STEEL,MEDIUM,F,3
E107N,M,18,1912.626558,RR,2646.699395,2,G,THROUGH,STEEL,MEDIUM,F,3
E100,A,39.7,1902.270196,HIGHWAY,1732.429779,2,G,THROUGH,STEEL,MEDIUM,F,3
E19,M,12,1922.693393,HIGHWAY,1329.0422,4,G,DECK,STEEL,LONG,F,1
E95,M,8,1896.48211,RR,906.363297,2,G,THROUGH,STEEL,MEDIUM,F,3
E72,M,13,1945.868205,HIGHWAY,1949.723597,4,G,THROUGH,STEEL,LONG,F,0
E44,M,4,1911.095926,RR,3671.370258,2,G,THROUGH,STEEL,MEDIUM,F,3
E27,A,5,1930.285432,HIGHWAY,2837.047222,4,N,THROUGH,STEEL,SHORT,F,2
E11,M,5,1958.177914,HIGHWAY,4421.183522,4,G,DECK,STEEL,MEDIUM,S-F,2
E105,M,36,1922.173837,RR,1679.247229,4,G,DECK,STEEL,MEDIUM,S-F,1
E58,M,8,1885.977896,HIGHWAY,1667.37843,2,G,THROUGH,STEEL,MEDIUM,F,3
E21,M,48,1900.355368,RR,1655.566881,2,G,THROUGH,STEEL,MEDIUM,F,3
E32,A,24,1850.205175,HIGHWAY,1470.228851,2,G,THROUGH,STEEL,MEDIUM,F,3
E6,A,10,1895.923509,RR,1358.883721,2,N,THROUGH,WOOD,SHORT,S,5
E35,A,26,1858.555316,HIGHWAY,783.470108,4,N,THROUGH,IRON,SHORT,S,4
E81,A,24,1896.929262,HIGHWAY,1225.054267,6,N,THROUGH,IRON,LONG,F,0
E80,M,41,1946.11413,HIGHWAY,1485.229822,2,G,THROUGH,STEEL,MEDIUM,F,3
E50,M,3,1936.737577,HIGHWAY,1120.404468,2,N,DECK,WOOD,LONG,F,1
E36,O,12,1892.177085,HIGHWAY,1044.011853,2,G,THROUGH,STEEL,LONG,F,3
E107N,M,27,1889.372375,HIGHWAY,1475.191626,2,N,THROUGH,STEEL,LONG,F,5
E41,A,16,1931.89621,HIGHWAY,819.535236,6,G,THROUGH,STEEL,LONG,F,0
E5,M,33,1932.067152,HIGHWAY,1283.33958,2,G,THROUGH,STEEL,SHORT,S,4
E109,A,32,1940.877888,HIGHWAY,1461.432375,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E97,O,44,1886.613884,HIGHWAY,1677.57918,2,G,THROUGH,STEEL,MEDIUM,S,0
E5,A,33,1823.261226,RR,1168.887399,4,N,THROUGH,WOOD,MEDIUM,S,5
E45,M,7,1945.966579,HIGHWAY,1723.339266,2,G,THROUGH,STEEL,LONG,F,3
E68,O,28,1972.887543,HIGHWAY,1742.373111,2,G,THROUGH,STEEL,LONG,F,0
E55,M,34,1889.062498,RR,1317.209332,4,G,THROUGH,STEEL,MEDIUM,F,3
E83,A,51,1833.739772,HIGHWAY,1482.292359,2,N,DECK,WOOD,SHORT,S,5
E30,A,27,1905.589904,HIGHWAY,1468.138941,2,G,DECK,STEEL,MEDIUM,F,3
E24,M,16,1828.462922,HIGHWAY,1222.828584,4,N,THROUGH,WOOD,MEDIUM,S,5
E30,A,14,1889.353483,HIGHWAY,835.831076,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E88,A,45,1921.096144,HIGHWAY,1078.851233,6,G,THROUGH,STEEL,MEDIUM,F,4
E99,M,35,1913.837769,WALK,964.702021,2,G,THROUGH,STEEL,LONG,F,4
E103,Y,42,1922.709032,HIGHWAY,3405.836265,4,G,THROUGH,STEEL,MEDIUM,S,0
E54,A,33,1881.709306,RR,1109.489963,2,G,THROUGH,STEEL,MEDIUM,F,3
E67,M,16,1974.929978,HIGHWAY,1294.144808,2,N,THROUGH,IRON,MEDIUM,F,4
E55,Y,3,1962.809362,HIGHWAY,1228.128866,4,G,THROUGH,STEEL,MEDIUM,F,3
E33,A,38.5,1892.187328,HIGHWAY,1003.402187,4,G,THROUGH,STEEL,LONG,F,4
E21,A,29,1842.287191,AQUEDUCT,925.646594,1,N,DECK,WOOD,SHORT,S,5
E67,A,38.5,1866.746166,HIGHWAY,937.474167,1,N,THROUGH,WOOD,SHORT,S,5
E72,O,25,1928.170325,RR,918.711905,4,G,DECK,STEEL,MEDIUM,S-F,1
E32,M,8,1949.390853,RR,2921.810507,2,G,DECK,STEEL,LONG,F,3
E34,M,21,1888.762356,RR,1744.363649,2,G,THROUGH,STEEL,MEDIUM,F,3
E93,O,46,1924.727464,HIGHWAY,1198.370072,2,N,DECK,STEEL,MEDIUM,S,2
E35,Y,23,1916.987444,HIGHWAY,1637.768473,6,G,THROUGH,STEEL,LONG,F,0
E31,M,34,1881.977251,RR,1300.045407,2,G,THROUGH,STEEL,MEDIUM,S,3
E72,M,6,1886.455466,HIGHWAY,1827.061084,2,G,THROUGH,IRON,MEDIUM,F,3
E38,M,12,1902.319976,RR,1565.819568,2,G,THROUGH,STEEL,LONG,F,3
E33,A,39.7,1963.43841,HIGHWAY,2379.441132,2,G,THROUGH,STEEL,MEDIUM,F,3
E33,M,3,1976.328758,HIGHWAY,2918.233501,4,N,DECK,STEEL,LONG,F,2
E89,M,23,1953.998936,RR,1425.50854,2,N,THROUGH,IRON,MEDIUM,S,3
E29,M,4,1889.593013,HIGHWAY,779.23567,2,G,THROUGH,STEEL,MEDIUM,S,0
E57,O,45,1930.862117,RR,875.281928,2,G,DECK,STEEL,MEDIUM,S-F,1
E30,O,25,1984.909914,HIGHWAY,1100.800918,2,G,DECK,STEEL,MEDIUM,S-F,1
E108,M,20,1932.068304,RR,871.470563,2,N,THROUGH,IRON,SHORT,F,1
E12,Y,32,1974.110001,HIGHWAY,779.541117,4,G,DECK,STEEL,LONG,F,2
E80,O,12,1952.415361,HIGHWAY,1013.870982,2,G,THROUGH,STEEL,LONG,S-F,1
E99,O,39,1892.408678,HIGHWAY,1860.410078,2,G,THROUGH,IRON,MEDIUM,S-F,3
E67,A,11,1915.411207,HIGHWAY,909.375245,2,G,THROUGH,STEEL,LONG,S-F,1
E57,M,33,1893.004911,RR,1202.08556,2,G,THROUGH,STEEL,MEDIUM,F,3
E91,Y,25,1982.618332,HIGHWAY,1559.077188,2,G,THROUGH,STEEL,LONG,F,0
E52,M,20,1909.829635,HIGHWAY,1235.917768,4,G,THROUGH,STEEL,LONG,S-F,1
E46,M,11,1908.283823,RR,986.923859,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E77,O,36,1932.50534,HIGHWAY,1473.91604,2,G,DECK,STEEL,MEDIUM,S-F,1
E81,M,15,1976.128922,HIGHWAY,1558.951879,2,G,THROUGH,STEEL,MEDIUM,F,3
E47,M,11,1902.152926,RR,1307.982968,2,G,THROUGH,STEEL,MEDIUM,F,3
E32,M,20,1893.081208,RR,1547.498367,2,G,THROUGH,STEEL,MEDIUM,F,3
E86,M,39,1968.265028,HIGHWAY,997.40601,2,G,THROUGH,STEEL,LONG,F,0
E87,A,31,1900.530555,HIGHWAY,1891.177068,2,G,THROUGH,STEEL,MEDIUM,F,3
E69,O,2,1923.914596,HIGHWAY,882.59419,4,G,THROUGH,STEEL,LONG,F,0
E70,M,21,1934.747325,AQUEDUCT,1279.023022,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E85,M,17,1904.44434,HIGHWAY,3744.108431,2,G,THROUGH,STEEL,MEDIUM,F,3
E7,A,45,1901.633936,RR,2806.669141,2,G,THROUGH,STEEL,MEDIUM,F,3
E51,Y,31,1933.12566,HIGHWAY,841.794732,6,N,THROUGH,STEEL,LONG,S,0
E7,O,46,1842.183148,HIGHWAY,1778.701873,1,G,THROUGH,STEEL,MEDIUM,F,3
E5,M,36,1988.014078,RR,1718.356971,2,G,THROUGH,STEEL,MEDIUM,S,3
E28,A,4,1847.782812,HIGHWAY,1102.307659,2,N,DECK,WOOD,MEDIUM,S,5
E23,A,33,1920.983084,HIGHWAY,1879.216562,6,G,THROUGH,STEEL,LONG,F,1
E107N,A,7,1901.805983,RR,2993.769945,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E109,O,42,1910.250293,RR,312.37954,2,G,THROUGH,STEEL,MEDIUM,F,3
E32,A,19,1892.071679,HIGHWAY,1009.716027,2,G,THROUGH,STEEL,MEDIUM,F,3
E3,A,29,1848.426867,HIGHWAY,1323.759136,2,N,THROUGH,WOOD,SHORT,S,5
E83,A,20,1902.947477,AQUEDUCT,1044.236884,1,N,THROUGH,WOOD,SHORT,S,5
E56,A,37,1883.451571,HIGHWAY,1629.11696,2,G,THROUGH,WOOD,MEDIUM,S,5
E6,A,18,1926.781381,HIGHWAY,872.769385,4,G,THROUGH,STEEL,LONG,F,2
E94,A,25,1888.264398,HIGHWAY,4240.222785,2,G,THROUGH,STEEL,MEDIUM,F,3
E67,M,9,1916.02236,AQUEDUCT,902.766205,4,N,DECK,IRON,LONG,F,4
E35,M,19,1952.528153,HIGHWAY,1045.232843,2,N,THROUGH,WOOD,LONG,F,1
E47,A,16,1900.136419,HIGHWAY,2184.067263,2,G,THROUGH,STEEL,LONG,F,3
E21,A,42,1889.366507,RR,1962.862365,2,G,THROUGH,STEEL,MEDIUM,F,3
E33,M,38.5,1955.836973,HIGHWAY,879.08876,6,G,THROUGH,STEEL,MEDIUM,F,0
E7,M,10,1891.403388,WALK,3517.928809,2,N,THROUGH,IRON,MEDIUM,F,4
E5,O,38,1868.712035,HIGHWAY,2188.733331,4,N,THROUGH,IRON,SHORT,S,4
E12,A,29,1892.180253,HIGHWAY,918.629282,1,N,THROUGH,WOOD,MEDIUM,S,5
E52,M,12,1888.676354,RR,2984.693599,2,G,THROUGH,STEEL,MEDIUM,F,3
E67,A,39.7,1904.754977,HIGHWAY,1247.692764,2,G,THROUGH,IRON,MEDIUM,F,3
E28,M,6,1905.31967,HIGHWAY,1319.395164,4,N,THROUGH,WOOD,SHORT,S-F,4
E73,O,31,1879.893992,HIGHWAY,1047.558588,2,G,THROUGH,STEEL,MEDIUM,F,3
E16,A,17,1936.372402,HIGHWAY,1042.200146,4,N,DECK,STEEL,LONG,F,2
E11,M,7,1867.929424,HIGHWAY,1962.338949,2,N,THROUGH,WOOD,SHORT,S,5
E95,A,45,1925.075253,HIGHWAY,920.775047,4,G,THROUGH,STEEL,LONG,F,0
E53,M,9,1900.041229,RR,1345.412242,2,G,THROUGH,IRON,MEDIUM,F,3
E41,A,28,1887.636976,HIGHWAY,1030.769408,2,G,THROUGH,STEEL,MEDIUM,F,3
E101,M,29,1842.404061,RR,1165.801458,2,N,THROUGH,IRON,SHORT,S,3
E57,A,17,1893.981667,HIGHWAY,1205.550718,2,G,THROUGH,IRON,LONG,F,3
E34,M,13,1891.508063,RR,1633.044925,2,G,THROUGH,STEEL,MEDIUM,F,3
E27,A,38,1901.711916,HIGHWAY,3723.614407,2,G,THROUGH,IRON,MEDIUM,F,3
E57,A,18,1860.635284,HIGHWAY,1055.877751,2,N,THROUGH,WOOD,MEDIUM,S,5
E1,A,32,1844.001103,HIGHWAY,1009.492321,2,N,THROUGH,WOOD,MEDIUM,S,5
E107,A,43,1836.590562,HIGHWAY,871.369592,4,N,THROUGH,IRON,SHORT,S,4
E13,A,45,1892.106978,HIGHWAY,931.427044,1,N,THROUGH,WOOD,MEDIUM,S-F,5
E28,Y,48,1886.780142,HIGHWAY,967.32078,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E60,M,5,1945.371901,RR,1215.874048,4,N,THROUGH,STEEL,MEDIUM,F,3
E35,A,51,1941.55281,HIGHWAY,2765.652904,2,G,DECK,STEEL,LONG,F,2
E75,M,23,1983.711791,HIGHWAY,1237.202193,2,G,THROUGH,STEEL,LONG,F,3
E75,A,25,1968.582005,HIGHWAY,2674.570694,2,G,THROUGH,STEEL,MEDIUM,S-F,0
E39,O,17,1864.425846,RR,845.417171,2,N,DECK,WOOD,SHORT,F,3
E32,A,37,1892.801281,RR,1735.129405,1,N,DECK,WOOD,MEDIUM,S,5
E47,A,29,1858.78778,HIGHWAY,1053.127743,2,N,DECK,WOOD,MEDIUM,S,5
E89,A,17,1976.773297,RR,1073.106262,4,G,THROUGH,STEEL,LONG,F,0
E60,A,30,1878.764118,HIGHWAY,1012.587279,1,N,DECK,WOOD,MEDIUM,S,5
E108,Y,24,1904.293285,RR,946.801266,4,N,DECK,STEEL,LONG,F,2
E77,O,14,1925.585206,HIGHWAY,1300.299294,2,G,THROUGH,WOOD,LONG,F,0
E27,A,34,1881.092783,RR,994.095814,2,G,THROUGH,STEEL,MEDIUM,F,3
E18,M,15,1888.612386,HIGHWAY,1706.585546,2,G,THROUGH,STEEL,MEDIUM,F,3
E15,A,33,1840.716895,HIGHWAY,1619.539712,2,N,THROUGH,WOOD,MEDIUM,S,5
E5,M,17,1898.374303,HIGHWAY,3546.209041,2,G,THROUGH,STEEL,MEDIUM,F,3
E55,O,41,1890.963148,HIGHWAY,1873.235821,2,G,THROUGH,STEEL,MEDIUM,F,3
E67,A,29,1849.141054,HIGHWAY,807.798803,2,N,THROUGH,WOOD,MEDIUM,S,5
E62,M,16,1973.360693,HIGHWAY,3437.16729,4,N,DECK,IRON,LONG,S,2
E85,A,36,1886.453773,RR,1709.866112,2,G,THROUGH,STEEL,LONG,F,3
E1,M,52,1864.625995,AQUEDUCT,1069.088832,4,N,THROUGH,WOOD,MEDIUM,S,5
E74,A,39,1959.277123,RR,1934.059413,6,G,THROUGH,STEEL,MEDIUM,F,0
E46,A,24,1936.212537,RR,1669.459637,2,G,THROUGH,STEEL,LONG,F,3
E4,A,21,1847.541724,HIGHWAY,1766.323967,2,N,THROUGH,IRON,SHORT,S,3
E47,A,1,1973.650154,HIGHWAY,1071.323529,2,G,THROUGH,STEEL,SHORT,S-F,4
E10,A,26,1899.415999,HIGHWAY,1264.37007,2,N,THROUGH,IRON,MEDIUM,F,3
E83,A,15,1907.074969,RR,2103.61545,2,G,THROUGH,STEEL,MEDIUM,F,3
E76,M,28,1925.393353,HIGHWAY,837.213488,4,G,THROUGH,STEEL,MEDIUM,F,0
E107N,A,39.7,1889.705294,RR,1033.444594,2,G,THROUGH,STEEL,MEDIUM,F,3
