history,session,label
113,rlogin <1> logout,2
114,cd <1> latex <1> latex <1> bibtex <1> latex <1> latex <1> dvips <1> gs <1> ghostscript <1> ghostview <1> mail <1> < <1> finger <1> emacs ghostview <1> logout,2
115,cd <1> volcheck diff <2> ls -l mv <2> ls cd <1> cd cd <1> cpfrf <2> cpfrf <2>,2
116,eject logout,2
117,emacs,2
120,netscape & cd <1> a.out <1> quota emcas emacs,2
123,quota emacs cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> more <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd cd <1> cd <1> more <1> more <1> xv,2
129,logout,2
131,cd <1> xvr <1> more <1> which <1>,2
133,quota emacs ls cd <1> cp <2> xvv <1> xcc <1> ls mv <2> xcc <1> a.out <1> im <1> mv <2> im <1> bg z <1> im <1> bg z <1> im <1> & im <1> & im <1> & im <1> & im <1> & z <1> im <1> & im <1> & im <1> & z <1> im <1> & z <1> finger <1> finger <1> netscape & cd <1> ls quota ls cd <1> ls rm <1> cd <1> compress <1> quota cd <1> rm <2> quota quota quota quota cd <1> cd <1> rm <1> quota quota quota rm <1> quota quota quota quota quota quota quota quota quota quota quota quota quota quota quota quota quota quota quota ls compress <1> compress <1> quota quota ls compress <1> quota ls compress <1> quota cd <1> rm <1> cd <1> cd <1> rmdir <1> ls rm <1> quota,2
134,cd <1> cd <1> cd <1>,2
135,cd <1> more <1> cd <1> mv <2> cp <2> cd <1> cd <1> cd <1> man <1> cd <1> cd <1> cd <1> ls <1> ls ls <1> ls <1> ls <1> ls <1> ls <1> ls <1> ls <1> ls <1> ls ls <1> ls <1> ls <1> more <1> man <2> more <1> ls <1>,2
136,cd <1> cd <1> cd <1> more <1> logout,2
137,quota emacs cd <1> more <1> rm <1>,2
140,cd <1> ls netscape & lpstatus -o lpstat -o,2
143,finger <1>,2
146,rlogin <1>,2
148,quota,2
149,emacs setenv <2> emacs ls,2
150,quota emacs netscape &,2
153,quota emacs cd <1> xcc <2> im <1> im <1> im <1> bg a.out <1> more <1> cd <1> im <1> cd <1> cd <1> cd <1> cd <1> a.out <1>,2
155,cd <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1>,2
156,quota emcas emacs cd <1> more <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> netscape & cd cd <1> cd <1> a.out <1> im <1> a.out <1> ls <1> a.out <1> a.out <1>,2
158,rlogin -l <2>,2
159,cd <1> mv <2> uncompress <1> mv <2> rlogin <1> xdvi <1> mail <1> < <1>,2
162,volcheck cd <1> cd <1> cd cd <1> cd <1> cd <1> cpfrf <2> latex <1> bibtex <1> latex <1> latex <1> dvips <1> xdvi <1> logout,2
163,quota cd <1> a.out <1> im <1> & a.out <1>,2
166,rlogin <1> netscape & netscape & motd <GENSYM:11>/motd,2
168,cd <1> a.out <1> im <1> &,2
169,eject logout,2
170,quota emacs netscape &,2
171,who <2> rlogin -l <2>,2
176,quota emacs,2
182,quota emcas emacs,2
185,netscape & cd <1> a.out <1> a.out <1> a.out <1>,2
188,netscape &,2
191,quota emacs,2
197,netscape & finger <1> finger <1> finger <1> finger <1>,2
200,setenv <2> emacs quota fg ls logout,2
201,ls ls | more ls | more cp <2> emacs rm <1> uncompree uncompress <1> emacs logout,2
202,quota emacs,2
205,quota emacs compress <1> quota cd <1> cd <1> cd <1> cd <1> rm <1> rm <1> cd <1> cd <1> rm <3> quota ls ls <1> cd <1> cd <1> compress <1> cd <1> rm <1> quota cd <1> cd <1> cd <1> cd <1> ls | mre ls | more cd <1> compress <1> quota cd <1> ls | more rm <1> rmdir <1> quota cd <1> ls <1> rmdir <1> man <1> ls rmdir -r <1> rm -r <1> cache quato quota cd finger <1> logout,2
206,quota mkdir <1> ls uncompress <1> emacs,2
209,cd <1> xcc <2> a.out <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd cd <1> more <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd netscape &,2
212,finger <1> more <1> emacs,2
215,netscape &,2
218,cd <1> netscape & more <1>,2
221,quota emacs,2
227,cd <1> a.out <1> im <1> & cls ls cp <2>,2
230,emacs,2
233,logout,2
237,mail <1> < <1>,2
240,cd <1> ls -l | more volcheck cd <1> cd cd <1> cptof <1> ls <1> cptof <1> cd <1> ls -l cd eject logout,2
241,cd <1> ls -l rlogin <1> xcc <2> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1>,2
244,cd <1> volcheck ls <1> eject volcheck ls <1> cpfrf <1> ls diff <2> diff <2> eject logout,2
245,cd <1> xcc <2> xcc <1> xcc <1> xcc <1> xcc <2> a.out <1> a.out <1> xcc <2> xcc <2> xcc <2> xcc <2> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> rlogin <1> rm <1>,2
247,cd <1> volcheck ls <1> cptof <1> cptof <1> eject logout,2
248,quota emacs ls rm <1> quota,2
249,ls netscape & volcheck cd <1> ls -l mv <2> mv <2> ls <1> ls <1> cpfrf <1> ls cptof <1> cptof <1> cptof <1> cptof <1> ls <1> rm <4> ls,2
250,eject cd <1> cd <1> xdvi <1> cd <1> cd <1> cd <1> xcc <1> xcc <2> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1>,2
251,quota emacs,2
252,cd <1> xcc <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1>,2
254,cd <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> ls cp <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> volcheck ls <1> alias <1> alias <1> lsf ls -l <1> ls <1> ls cptof <1> cptof <1> eject,2
256,quota emacs cd <1> rm <1>,2
257,quota ls,2
258,netscape &,2
260,finger <1> netscape & rlogin <1> emacs cd <1> cd <1> ls -l <1> ls <1> rlogin <1> emacs,2
262,cd <1> volcheck ls -l mv <2> mv <2> cptof <1> cptof <1> ls alias <3> lsf alias <1> alias <3> cd <1> more <1> alias <3> :1* cd <1> lsf ls <1> cpfrf <1> cpfrf <1> cpfrf <1> ls quota logout,2
263,ls <1> ls -l <1> ls -l <1> 'ls -l ' <1> ls <2> ls -la <1> man <1> ls  <1> ls -Ll <1> ls -LRl <1> ls -LFl <1> cd <1> cd source <1> lsf more <1> lsf lsfr source <1> lafs lsfr lsf alias -Ll <3> :1 alias -LlR <3> :1 lsf ls -LlR <1> cd <1> xcc <1>,2
264,cd <1> xcc <2> xcc <2> xcc <2> xcc <2> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> ls rm <2> ls rm <1> rm <1> rm <1> cp <2> dem <1> > <1> dem <2> more <1> xcc <1> xcc <1> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> cp <2> cp <2> tm <1> rm <1> dem <2> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> rm <2> xcc <1> xcc <1> xcc <1> xcc <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> alias <1> <GENSYM:12>/X11R6 cd <1> cd <1> cd <1> more <1> man <1> ls grep <2> grep <2> man <1> grep <2> cd cd <1> xcc <1> xcc <1> xcc <1> xcc <2> xcc <2> a.out <1> a.out <1> a.out <1> rm <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> xcc -g <2> rm <1> dbx <1> cp <2> dem <2> cc -g <2> xcc <2> xcc -g <2> xcc -g <2> xcc -g <2> xcc <1> xcc -g <2> xcc <1> xcc -g <2> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> rm <2> cp <2> xcc -g <2> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> volcheck lsf lsf <1> cptof <1> ff eject,2
265,netscape & quota emacs emacs,2
266,cd <1> rm <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> xcc <2> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> ls a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> volcheck volcheck ls cptof <1> cptof <1> eject,2
267,cd <1> cp <2> rm <1>,2
268,quota emacs netscape &,2
270,cd <1> rm <1> cp <2> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> rm <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> 1A a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> ls mv <2> ls mv <2>,2
271,cd <1>,2
272,quota cd <1> mv <2> volcheck lsf alias <1> lsf <1> cptof <1> ls rm <1> cpfrf <1> ls xcc <2> xcc <2> xcc <2> xcc <2> xcc <2> xcc <2> xcc <2> cp <2> dem <2> xcc <1> dem <1> alias <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> | more xcc <1>,2
274,cd <1> xcc <1> xcc <1> cc  <1> > <1> xcc <1> more <1> xcc <1> rm <1> dem <2> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> ls xcc <1> quota emacs xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> ls dem <2> dem <2> xcc <1>,2
275,"cd <1> cp <2> xcc <1> ls xcc <1> cd <1> mv <2> cd <1> xcc <1> volcheck lsf lsf <1> cptof <1> cptof <1> eject h ""tt2.c"" <12> ""tt2.c"" <8> ""tt2.c"" <12> ""tt2.c"" <7> ""tt2.c"" <7> ""tt2.c"" <12> ""tt2.c"" <7> ""tt2.c"" <12> ""tt2.c"" <10> ""tt2.c"" <8> cc: <4> <GENSYM:14>/seg > <1> <GENSYM:14>/seg > <1> <GENSYM:14>/seg > <1> Bad arg <1> <GENSYM:14>/seg > <1> 246 -rwxrwxrwx <8>",2
276,cd <1> dem <2> xcc <1> xcc <1> xcc <1> xcc <1> | more xcc <1> | more > <1> xcc <1> > <1> rm <1> xcc <1> > <1> less <1> cat <1> rm <1> rm <1> dem <2> xcc <1> xcc <1> ls diff <2> xcc <1> xcc <1> emacs <1> xcc <1>,2
277,cd <1> volcheck ff mv <2> ls lsf <1> cpfrf <1> ls xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> rm <1> xcc -g <2> dbx <1> a.out <1> rm <1> dbx <1> xcc -g <2> xcc -g <2> a.out <1> rm <1> dbx <1> ls rm <2> rm <1> dem <2> xcc -g <2> xcc -g <2> dbx <1> xcc -g <2> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> rm <1> a.out <1> rm <1> dbx <1> rm <1> dem <2> xcc -g <2> xcc -g <2> dbx <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> cd <1> quota uncompress <1> ls cd <1> cd <1> uncompress <1> cd <1> a.out <1> a.out <1> im <1> & a.out <1> a.out <1> quota rm <1> ff a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> im <1> & lsf lsf <1> cptof <1> ff quota eject,2
278,cd <1> im <1> &,2
279,ls cd <1> volcheck cptof <1> cptof <1> rm <2> rm <2> ls xcc <1> xcc <1> xcc <2> ls cp <2> cp <2> ls diff <2> rm <1> cptof <1> rm <2> rm <1> ls cptof <1> rm <1> ls cptof <1> cptof <1> cd <1> rm <1> rm <1> ls cd cd <1> rm <2> ls xcc <2> a.out <1> more <1> more <1> a.out <1> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> more <1> a.out <1> a.out <1> a.out <1> lsf lsf <1> cd <1> mv <2> mv <2> cd cd <1> cptof <1> cptof <1> cptof <1> cptof <1> rm <1> ls,2
281,eject,2
283,quota emacs cd <1> matlab lp -d <2> cd <1> lp -d <2> lp -d <2> lp -d <2>,2
285,ls cd <1> lwinfo <1> lpstat -o cd <1> lp -d <2> lpp <1> lpp <1> logout,2
286,cd <1> cd <1> rm <1> rm <3> ls matlab ls lp -d <2> lp -d <2> lp -d <2> lp -d <2> cd cd <1> cd <1> xcc <2> a.out <1>,2
288,cd <1> cd <1> cd <1> load <1> matlab,2
290,quota emacs cd <1> quota cd <1> cd <1> uncompress <1>,2
292,cd <1> mkdir <1> mv <2> cd <1> a.out rm <1> a.out cd <1> cd <1> cd <1> cd <1> cd cd <1> ls -l cd <1> rm <1> rm <1> quota cd,2
294,quota emacs quota ls mv <2> uncompress <1> cd <1> rm <1> ls ls -l eject cptof <1>,2
295,rlogin <1>,2
296,volcheck lsf lsf lsf <1> eject volcheck lsf <1> cptof <1> ls cd <1> cptof <1> cptof <1> eject logout,2
297,quota emacs,2
299,finger <1> finger <1> finger <1> cd <1> ls cd <1> cd <1> mkdir <1> cd <1> rlogin <1> latex <1> ls xdvi <1> xdvi <1> xdvi <1> dvips <1> ph <1> lname <1> finger <1> ls lp -d <2> quota cd <1> cd <1> mkdir <1> cd <1> mail <2> < <1> mail <1> < <1> mail <1> < <1> cd cd <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> rm <1> dem <2>,2
300,quota emacs emacs cd <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> ls <1> ls <1> dem <2> xcc <1> xcc <1> xcc <1> xcc <1> rm <1> dem <2> xcc <1> cd <1> quota emacs cd <1> xcc <1> xcc <1> rm <1> dem <2> xcc <1> xcc <1> xcc <1> xcc <1> rm <1> dem <2> xcc <1> xcc <1> rm <1> xcc <1> xcc <1> xcc <1> xcc <2> xcc <2> xcc <2> xcc <2> a.out <1> cp <2> a.out <1> a.out <1> rm <1> xcc -g <2> dbx <1> xxgdb dbx <1> rm <1> dem <2> xcc -g <2> xcc <1> xcc -g <2> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> rm <1> a.out <1> rm <1> a.out <1> rm <1> dbx <1> rm <1> dem <2> xcc -g <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> rm <1> dem <2> xcc <1> xcc -g <2> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc -g <2> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> rm <1>,2
301,ls cd <1> ls -l mv <2> mv <2> ls volcheck cpfrf <1> lsf lsf <1> cd <1> cd <1> cd <1> lsf <1> cpfrf <1> ls cd <1> cd <1> eject volcheck ls lsf <1> cpfrf <1> cpfrf <1> eject logout,2
302,ls cd <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> ls <1> cd cd <1> a.out <1> a.out <1> a.out <1> im <1> & cd <1> cd <1> quota cd <1> cd <1> cd a.out <1> cd <1> a.out <1> im <1> &,2
303,ls cd <1> volcheck ff cptof <1> cptof <1> ff cptof <1> cptof <1> cptof <1> cptof <1> eject,2
304,quota emacs rlogin <1> ls cd <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1>,2
306,volcheck cd <1> ls -l mv <1> mv <2> ls lsf <1> cpfrf <1> ls eject logout,2
307,xcc <1> cd <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <2> xcc <2> xcc <2> xcc <2> xcc -g <2> dbx dbx <1> xcc -g <2> a.out <1> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> where dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> dbx <1> cp <2> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> rm <1> dbx <1> a.out <1> rm <1> xcc -g <2> a.out <1> dbx <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> dbx <1> rm <1> cp <2> xcc -g <2> a.out <1> rm <1> dbx <1> dem <2> xcc -g <2> xcc -g <2> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1>,2
308,cd <1> cp <2> a.out <1> rm <1>,2
310,ls cd <1> rm <4> cp <2> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <1> xcc -g <2> a.out <1> rm <1> a.out <1> dbx <1> a.out <1> rm <1> a.out <1> a.out <1> a.out <1>,2
312,quota emacs,2
314,a.out <1> cd <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc -g <2> a.out <1> a.out <1> more <1> xcc -g <2> a.out <1> quota cd emacs rm <1>,2
315,cd <1>,2
316,emacs emacs,2
318,diff <2> cd <1> diff <2> rm <2> cp <2> xcc -g <2> a.out <1> mv <2> xcc <2> a.out <1> mv <2> z2 <1> z <1> z2 <1> z <1> z <1> z2 <1> more <1> a.out <1> z <1> z2 <1> z <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> im <1> & a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> im <1> & quota emac emacs diff <2> xcc <2> diff <2> rm <1> ls mv <2> rm <2> ls diff <2> diff <2> > <1> more <1> netscape & ls volcheck lsf <1> ff cptof <1> cptof <1> ls ls -l eject,2
320,quota emacs,2
322,quota emacs,2
326,cd <1> a.out <1> a.out a.out <1> a.out <1> a.out <1> a.out <1> .out <1> a.out <1> a.out <1> a.out <1> ls ls -l netscape &,2
328,quota cd <1> volcheck ff ls -l mv <2> cptof <1> lsf <1> ls cpfrf <1> cpfrf <1> xcc <1> xcc <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> rm <1> dbx <1> rm <1> dem <2> xcc -g <2> xcc -g <2> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc -g <2> a.out <1> > <1> more <1> ls rm <1> xcc -g <2> a.out <1> > <1> rm <1> xcc -g <2> a.out <1> > <1> rm <1> a.out <1> > <1> a.out <1> > <1> lsf lsf <1> cptof <1> cptof <1> cptof <1> eject,2
332,cd <1> xcc -g <2> xcc -g <2> xcc -g <2> a.out > <1> a.out <1> > <1> rm <1> a.out <1> > <1> rm <1> cp <2> ls xcc -g <2> xcc -g <2> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> rm <1> dbx <1>,2
333,finger cd <1> ls,2
334,cd <1> mv <2> ls cp <2> xcc -g <2> xcc -g <2> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> > <1> xcc -g <2> a.out <1> > <1> xcc -g <2> a.out <1> > <1> xcc -g <2> a.out <1> > <1> xcc -g <2> a.out <1> > <1> ls quota netscape & quota ls rm <6> ls rm <7> quota rm <1> ls cd rm <1> unrm ls rm <1> quota compress <2> cd <1> rm <1> quota more <1> rm <1> ls compress <1> quota uncompress <1> compress <1>,2
336,cd <1> uncompress <1> dem <2> xcc -g <2> xcc -g <2> a.out <1>,2
340,cd <1> a.out <1> > <1> xcc <2> a.out <1> > <1> xcc <2> a.out <1> > <1> xcc <2> a.out <1> > <1> netscape & xcc -g <2> a.out <1> > <1> rm <1> a.out <1> > <1> xcc -g <2> a.out > <1> rm <1> a.out <1> > <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out a.out <1> a.out <1> ls rm <10> ls rm <1> ls more <1> ls rm <1> ls rm <1> ls,2
342,cd <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> im <1> & a.ot <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> ls -l lsf <1> volcheck lsf <1> cd <1> ls cd <1> cd <1> cd cd <1> cptof <1> cptof <1> cptof <1> eject,2
346,quota emacs,2
350,help <1> man <1> man <1> man <1> man -k <1> xterm help <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> logout,2
351,quota emacs cd <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> quota ls cd uncompress <1> ls emacs a.out <1> cd <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> im <1> & a.out <1> a.out <1> a.out <1> ls -l,2
354,ls ls mv <2> ls more <1>,2
355,cd <1> xcc <2> a.out <1> a.out <1> > <1>,2
359,quota ls ls rm <1> ls emacs,2
362,quota emacs quota ls rm <1> rm <1> quota cd <1> rm <1> rm <1> more <1> rm <1> ls rm <1> quota netscape cd <1> netscape & quota netscape & quota ls compress <1> quota uncompress <1> ls cd <1> xcc <2> a.out <1> a.out <1> > <1> more <1> a.out <1> > <1> a.out <1> > <1> a.out <1> > <1> a.out <1> > <1> a.out <1> a.out <1> a.out <1> im <1> & cd <1> cd <1> more <1> cd <1> uncompress <1> im <1> & <GENSYM:15>/im <1> & cd <1> a.out <1>,2
364,quota emacs,2
368,netscape & quota quota emacs,2
371,netscape &,2
374,quota emacs cd <1> a.out <1> > <1> a.out <1> > <1> im <1> & im <1> g bg ls <1> im <1> im <1> bg im <1> &,2
377,quota emacs,2
383,netscape & quota emacs cd <1> im <1> im <1> im <1> ls a.out <1>,2
385,cd <1> cd <1> cd <1> cd <1> cd <1> <GENSYM:16>/im <1> cd cd <1>,2
392,pgp -ka <1> pgp -kxa <2> mail <1> < <1> pgp -ka <1> pgp -kxa <2> mail <1> < <1> mail <1> < <1> ls <1> pgp -kvv pgp -ka <1> pgp -ka <1> pgp -kvv mail <2> mail <1> < <1>,2
393,mkdir <1> rmdir <1> mkdir <1> pgp -kg pgp -kv pgp -ks <1> pgp -kvv pgp -kxa <1> more <1> cd <1> cd <1> more <1> mail <1> < <1> mail <1> < <1> mail <1> < <1> pgp -kvc emacs,2
394,netscape & ls rm <6> ls rm <1> rm <1> ls more <1>,2
395,quota emacs cd <1> im <1> more <1> ls <1> im <1> bg a.out <1> a.out <2>,2
398,quota emacs logout,2
399,emacs logout,2
400,mail <1> < <1>,2
