median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,label
131500,2.6771,23,1818,522,958,485,33.74,0
216700,6.0266,24,407,68,175,61,38.35,1
101300,2.0878,16,2876,576,1859,545,33.77,0
202800,3.7969,40,2725,531,1167,458,38.36,1
117600,3.3611,42,1207,278,699,279,37.75,1
292600,3.7422,42,3157,676,1603,629,37.57,1
500001,12.8483,42,1298,174,420,190,34.04,0
130300,3.1625,16,2349,446,1302,392,37.68,1
92400,2.3359,24,2532,555,1564,507,37.1,0
112500,1.2778,42,855,284,890,247,34.0,0
154200,1.8,5,187,49,207,51,33.75,0
104000,2.2125,52,907,180,479,177,38.56,1
121600,2.6033,22,1249,335,699,308,38.34,1
206300,3.5893,17,1102,224,317,208,37.86,1
108300,4.4583,25,556,79,249,71,36.71,1
349400,6.5162,27,2287,320,967,321,34.19,0
83300,1.4896,17,1483,284,481,211,39.55,1
245800,5.5191,29,1673,284,794,270,34.2,0
91500,2.6607,9,2268,594,1311,585,38.46,1
500001,10.2292,26,10111,1295,3599,1257,34.15,0
500001,3.2609,22,3484,975,1268,952,33.99,0
190500,3.5192,26,1664,344,1024,339,34.1,0
108300,1.6937,52,966,247,589,228,37.74,1
89600,3.3616,13,3921,754,1902,665,33.97,0
500001,10.675,28,3825,473,1415,480,37.27,1
94600,3.765,33,2493,454,1203,436,37.97,1
67500,7.5752,52,22,7,55,7,34.02,0
177500,6.0497,14,2677,368,1288,375,38.0,1
261300,5.0862,37,1954,368,967,370,34.23,0
500001,5.2066,4,966,133,311,92,33.51,0
168400,5.5696,17,1149,182,702,192,33.15,0
245300,4.675,35,1484,244,664,238,37.24,1
240000,4.8611,35,1818,368,682,254,37.09,1
156500,3.275,17,2474,480,1649,453,37.93,1
500001,4.2875,30,1226,205,380,151,32.96,0
235600,5.2336,34,1851,291,784,290,33.88,0
185600,4.4934,34,2242,436,1483,443,33.89,0
316700,1.6806,49,649,315,987,329,34.08,0
118800,2.9559,15,1666,351,816,316,39.96,1
248500,4.635,33,2542,466,1099,420,38.46,1
236500,4.7986,24,4179,784,1902,733,33.79,0
94600,2.0242,52,1384,295,561,244,38.55,1
176800,3.2375,36,1391,283,1025,275,34.01,0
148600,3.2794,16,2800,566,1267,518,32.86,0
195300,3.038,31,1044,285,762,301,36.6,1
215900,4.8508,28,4698,902,3287,881,33.8,0
126600,3.7543,42,498,120,548,119,34.02,0
173900,2.4,25,2459,823,2635,763,34.08,0
183000,3.9205,4,617,105,224,105,33.13,0
74300,2.4405,35,1129,220,474,242,36.78,1
224700,4.375,34,1127,185,588,181,33.85,0
101600,3.3214,35,990,192,674,178,36.52,1
391000,5.4322,35,2789,445,1156,404,37.51,1
265000,3.5481,34,522,138,373,139,33.94,0
500001,9.1974,23,2552,305,916,316,37.21,1
186500,4.9769,14,1870,348,1214,347,37.3,1
78000,2.6739,16,5648,1089,2524,1008,34.12,0
80800,3.2593,24,2565,530,1447,473,32.98,0
189600,4.2685,38,2264,460,1124,388,34.26,0
199200,3.8875,34,1300,289,650,291,34.26,0
189600,3.4762,15,2419,538,1279,522,35.32,1
160000,2.875,52,1026,180,469,168,37.78,1
375300,8.735,10,2106,319,1002,332,33.68,0
166700,2.9915,20,3968,931,2629,903,37.97,1
215600,4.1111,36,2600,441,1246,426,34.19,0
228600,3.934,18,943,213,544,179,37.03,1
171300,2.8285,17,4422,945,2307,885,35.49,1
431000,6.2561,51,1905,291,707,284,37.74,1
275100,5.6917,18,4626,822,2794,763,33.87,0
276800,6.0256,28,1765,301,1173,297,34.44,1
46300,1.8839,25,1847,371,1460,353,36.31,1
144000,4.0211,4,23386,4171,10493,3671,34.68,0
94300,2.2569,20,1401,280,668,250,39.74,1
157600,2.1863,23,3188,836,3883,840,34.01,0
194500,4.105,42,1024,191,483,187,33.79,0
351100,3.7321,20,3407,885,1883,870,34.16,0
453400,3.1677,39,2309,526,870,546,34.07,0
224600,2.8021,37,1993,425,939,400,34.19,0
155600,2.8125,44,1565,398,1500,407,34.12,0
242000,10.0088,15,2430,315,1016,314,38.01,1
70000,2.9306,23,608,143,281,108,39.74,1
71300,1.875,33,399,87,71,27,34.3,0
66800,1.625,20,1798,395,685,331,39.09,1
153100,4.7853,7,2529,689,1215,577,34.1,0
137500,2.4206,19,2693,789,1765,724,37.7,1
230400,5.2897,35,2062,353,991,357,33.88,0
242200,4.7235,33,4211,918,2389,861,37.31,1
301900,5.6549,15,5078,806,2569,759,33.87,0
415800,5.7876,33,1664,271,759,272,37.27,1
156500,4.9618,7,7957,1314,4460,1293,38.0,1
78600,2.2768,14,2633,530,1324,513,40.46,1
441400,8.4352,14,3056,369,1209,377,37.87,1
184300,2.7179,46,3007,854,2587,814,34.08,0
276500,6.9454,8,4983,754,2510,725,34.29,0
232800,3.46,31,1471,321,841,330,33.93,0
60400,1.5635,17,2266,693,3200,664,37.29,1
224100,5.0359,51,4280,632,1486,621,38.55,1
439000,6.9014,21,4349,553,1680,519,33.77,0
123100,2.7413,13,5087,981,2284,913,37.27,1
255700,6.5706,9,2012,316,802,289,32.91,0
57600,2.0357,39,1551,353,684,310,39.51,1
199800,4.3571,35,2891,594,1757,581,34.2,0
51300,1.7344,47,1425,323,949,325,36.76,1
348200,6.2987,23,1915,277,724,267,34.48,1
362800,6.3302,39,3770,534,1265,500,37.82,1
240300,4.2083,26,4175,885,2118,778,34.18,0
73600,2.5,32,1702,348,1016,350,36.25,0
172600,3.8967,12,2363,408,1211,396,33.14,0
229000,4.0077,17,6015,1464,3056,1347,34.22,0
166300,3.6531,30,2281,522,1969,500,34.08,0
83300,2.0881,24,4210,920,1283,829,33.71,0
500001,8.153,36,2873,420,850,379,34.14,0
332900,6.8039,17,2603,373,1265,382,33.68,0
54300,1.7857,41,1808,435,1005,373,35.41,0
241700,4.0812,45,1306,293,585,260,33.88,0
387500,5.1506,20,10053,1768,3083,1621,36.55,1
136400,3.6,19,1688,365,622,322,34.1,0
98300,4.175,47,2373,461,990,444,37.98,1
176000,2.8958,17,3220,716,1381,733,34.18,0
63000,1.3386,20,1287,310,954,269,36.87,1
236900,3.2426,26,3239,647,1529,590,34.24,0
97200,3.2262,25,3301,678,994,306,37.21,1
220000,1.3062,10,2380,843,1245,789,37.78,1
105800,2.8583,19,1144,268,365,279,33.62,0
270900,5.033,36,1973,352,1169,370,37.57,1
99400,3.233,33,4924,1007,3502,953,34.08,0
166300,1.9355,37,2040,611,1698,545,34.11,0
143800,2.7826,21,1824,447,962,431,32.77,0
140600,3.025,35,956,213,488,215,38.81,1
330900,6.6104,15,5645,830,2324,769,38.5,1
156900,3.5357,44,2067,385,1046,441,34.02,0
500001,7.0423,22,2398,407,349,169,33.09,0
162500,0.4999,36,15,5,15,6,33.9,0
124800,4.3958,9,2738,510,1193,412,39.33,1
216100,2.7386,12,5963,1372,3015,1124,33.21,0
171400,2.6742,27,3166,867,1332,817,32.75,0
325600,5.4223,52,3158,459,1229,444,34.16,0
109800,1.7765,40,1394,397,689,353,38.58,1
276200,3.9722,38,5277,1008,2695,997,37.65,1
129900,3.0426,9,5685,1442,3773,1250,33.13,0
292300,3.3333,52,3230,654,1765,611,37.73,1
341500,6.6004,17,1528,264,606,251,38.48,1
66800,2.2466,15,10377,2331,4507,1807,34.15,0
238800,3.4609,19,1615,366,815,337,38.08,1
77400,2.5667,21,1435,294,668,267,38.41,1
82400,2.6768,25,2907,680,1841,633,33.61,0
359900,4.7917,40,2362,468,992,425,37.58,1
465700,6.2917,39,3278,632,1321,617,34.02,0
214000,4.8233,8,6322,1001,2969,1043,38.37,1
107100,3.25,35,2969,521,1555,503,34.11,0
157800,4.2348,25,6508,1137,3259,1081,37.99,1
119300,3.1111,36,1950,365,1125,374,33.91,0
232900,4.3333,33,2088,383,960,362,34.25,0
179500,5.1014,15,14125,2344,6456,2147,38.12,1
70100,1.375,25,2322,573,2185,602,32.67,0
55000,1.625,1,6,2,8,2,33.86,0
65900,2.0417,34,2010,411,1501,422,38.64,1
99600,2.5893,18,2250,484,1248,472,40.95,1
500001,10.3893,18,729,105,316,108,33.62,0
164100,5.1645,11,2722,554,1565,508,33.64,0
77000,1.4366,18,9601,2401,4002,2106,33.75,0
140300,3.5938,14,811,161,352,121,39.26,1
172900,2.7813,23,1731,365,612,258,33.06,0
500001,3.0956,35,3517,879,1632,784,34.05,0
314300,2.8611,31,1171,321,603,267,33.03,0
500001,4.3906,41,2403,516,1001,514,34.02,0
500001,12.367,28,1643,216,594,205,37.34,1
143000,2.0405,44,1941,579,2049,535,34.04,0
280600,4.665,23,2482,461,1048,425,33.42,0
375000,3.3725,16,4814,1381,1897,1209,34.07,0
137500,1.9286,38,380,130,445,140,34.08,0
337100,7.3141,15,2102,295,1060,303,33.71,0
128000,3.5569,19,7646,1618,2496,1075,33.72,0
185400,2.9663,39,2739,573,1223,569,38.45,1
63000,1.8355,34,842,186,635,165,39.36,1
109500,3.5156,44,1487,314,961,272,37.79,1
400000,1.1642,14,1787,853,2251,763,34.06,0
151900,5.9191,36,1383,207,531,203,38.01,1
56300,1.6172,9,695,188,810,190,37.29,1
102500,2.6458,35,383,92,202,72,40.02,1
225000,3.6997,24,10239,2823,4210,2565,34.14,0
145500,2.7993,37,1844,382,1634,417,37.47,1
363100,4.0229,18,3603,879,1549,756,33.65,0
249000,1.9464,52,831,175,415,159,37.74,1
415300,5.7979,52,2255,410,823,377,37.88,1
267400,5.2113,19,3716,563,1788,587,32.86,0
75000,2.1838,40,3693,771,2102,742,37.3,1
250000,2.2328,52,1609,510,1155,439,37.75,1
161800,2.0284,34,1730,373,730,350,32.77,0
97500,1.4007,20,2033,586,1281,521,38.5,1
111500,3.0156,27,2158,424,1220,442,37.93,1
87300,2.0179,11,3946,978,2814,953,37.36,1
272900,2.5784,28,4001,1352,1799,1220,34.09,0
124400,3.3438,8,6042,979,3031,991,34.4,0
228700,5.997,19,9259,1653,3963,1595,34.22,0
229500,4.7443,15,3797,692,2216,675,34.19,0
162500,2.2232,48,1521,513,1772,458,34.04,0
80000,2.9063,42,909,215,646,198,37.73,1
118800,2.1615,33,885,294,1270,282,33.99,0
244200,7.8118,17,338,47,200,46,33.93,0
187500,3.9798,31,2825,546,1908,563,33.78,0
246000,4.4125,38,2105,348,956,350,33.96,0
102600,1.689,31,1068,271,1091,281,33.97,0
116700,1.6759,20,1717,403,1062,401,37.77,1
137500,0.9722,10,105,42,125,39,37.8,1
171900,7.2371,10,1039,174,317,109,34.22,0
103100,2.6563,29,488,108,308,115,37.87,1
239100,3.449,27,2447,720,2104,657,37.69,1
194000,4.5461,33,1700,369,981,362,33.93,0
219900,3.5822,18,5591,1042,2860,1026,34.42,0
380000,6.91,40,866,181,399,176,34.08,0
155700,2.8333,34,2050,495,1832,465,34.05,0
89900,1.9362,17,5273,1177,2446,1199,39.77,1
89300,4.7622,12,1488,253,675,223,36.82,1
55000,1.3672,52,957,263,513,223,39.73,1
49800,1.6632,27,1615,355,1380,332,35.35,0
146400,2.3071,41,2591,682,2366,583,34.12,0
278000,5.9658,17,1527,267,775,260,37.27,1
288700,7.7814,10,3580,491,1688,467,33.65,0
129200,2.7813,41,1158,396,1209,336,33.77,0
221600,4.869,35,2235,390,1148,416,34.27,0
85600,4.1838,44,3042,697,335,115,37.25,0
160400,2.8167,36,1679,483,2249,487,33.95,0
57600,2.2813,21,1432,284,862,275,39.42,1
348500,3.5833,50,1922,427,1049,443,37.78,1
199400,5.7039,35,1897,311,965,323,34.08,0
97100,1.8086,38,1407,447,1783,402,33.99,0
58100,2.3562,45,1315,256,666,240,36.77,1
301000,4.1033,34,8400,1812,4101,1717,37.64,1
74200,2.5,42,412,75,227,75,37.43,1
249400,3.3967,25,2174,428,603,352,33.42,0
267000,6.2734,14,17527,2751,8380,2676,33.99,0
119900,2.9877,5,4718,1140,2564,1056,34.17,0
77700,1.4,20,3481,840,1694,587,34.52,0
143400,3.0208,32,1020,215,421,198,41.06,1
61200,1.8355,26,2796,629,2017,632,39.12,1
206800,4.0222,16,6389,1330,6242,1340,34.19,0
328200,6.8099,15,1095,158,361,176,33.03,0
360600,4.337,37,1828,460,1075,453,33.99,0
107800,1.8664,30,950,317,1073,280,37.96,1
51500,1.5642,15,1070,256,1070,243,36.62,0
67500,1.2667,7,938,297,1187,282,32.54,0
184100,2.7778,25,3911,849,1580,767,32.77,0
200000,1.4048,52,1562,616,692,512,33.77,0
354000,2.7717,25,2670,527,936,461,33.12,0
393800,3.0173,19,3330,1010,1837,915,34.04,0
132100,4.0089,20,2029,357,1497,353,32.58,0
306500,6.1092,20,2781,407,1242,408,33.71,0
134900,2.1806,45,963,234,1194,239,34.04,0
319300,6.4171,29,1287,194,525,187,34.29,0
303900,4.3333,43,1432,308,782,303,33.99,0
350000,2.2716,26,1156,393,1880,400,33.84,0
231200,4.1923,47,1721,343,834,334,34.19,0
131300,3.9773,33,2014,410,1354,427,37.98,1
120800,3.5341,25,2321,398,1434,386,32.7,0
135200,2.5446,27,9285,1621,1135,410,34.26,0
68900,2.5875,44,1297,307,776,278,35.05,0
425000,3.8056,21,1241,248,746,211,34.47,1
160500,1.9286,26,3665,932,2775,870,34.29,0
151000,3.0757,39,2018,447,1221,446,37.8,1
349500,8.7496,29,5436,707,2046,685,33.77,0
60200,2.1439,38,3804,814,2142,816,36.77,1
396400,4.8824,34,1189,220,445,203,34.3,0
278500,4.0,31,1689,362,705,360,34.17,0
239300,3.3799,6,24121,4522,4176,2221,33.78,0
224900,3.8839,35,2329,399,966,336,34.19,0
91300,1.1434,43,1113,378,1305,334,33.94,0
111400,2.4367,15,3927,1018,2204,977,32.8,0
150800,1.9028,50,1279,300,675,255,37.85,1
64700,1.6073,14,6202,1551,5561,1435,36.74,1
358800,6.5847,23,3318,408,1124,393,37.92,1
232800,4.317,32,2307,493,1754,528,33.88,0
54400,1.7388,18,2281,520,1425,465,37.36,0
98200,2.7917,8,6246,1273,3883,1264,34.46,0
225800,3.9929,14,5147,1182,3171,1126,33.73,0
116100,3.7933,34,975,192,870,183,34.07,0
196400,2.1667,42,538,107,200,104,36.96,1
123200,2.125,22,2153,461,903,314,40.4,1
156400,4.1635,47,1830,369,922,377,33.97,0
166800,3.7238,34,2118,437,1414,442,33.92,0
215900,4.3657,17,5815,898,2614,887,38.44,1
117300,2.949,17,6659,1402,3183,1378,32.83,0
243200,2.6146,37,1129,212,509,202,34.04,0
72900,3.6786,11,2572,454,1402,415,36.09,0
191700,3.5625,52,1813,353,828,339,37.87,1
60000,2.5625,2,158,43,94,57,37.82,1
195400,4.4653,32,2704,514,1669,497,34.08,0
111600,3.05,52,1296,246,853,238,34.0,0
268500,3.3616,30,2835,711,1669,652,33.73,0
260000,3.7143,52,1380,272,847,284,37.72,1
89400,2.4554,20,2233,431,1024,399,33.74,0
235200,8.2405,25,2396,316,951,314,33.96,0
386100,3.6641,25,2769,566,1201,545,34.16,0
187500,0.9234,40,561,284,662,205,34.02,0
223400,4.0,16,2542,498,1022,494,33.66,0
120300,3.125,35,1145,274,1651,265,33.89,0
135800,2.6635,16,3895,896,1762,855,38.57,1
307400,3.2917,49,2792,690,1301,648,33.77,0
326800,4.7813,17,2649,386,1057,362,34.9,1
70300,0.7069,29,331,85,341,107,34.13,0
68200,2.0057,52,1230,262,609,243,37.96,1
114600,3.0924,14,2391,451,798,308,37.29,0
177200,4.5687,33,1325,274,909,267,37.55,1
81900,3.1667,36,2430,426,1199,437,38.53,1
90600,3.4141,41,930,191,463,185,37.99,1
56800,1.4688,44,1406,357,1489,386,37.94,1
323800,4.8516,52,2226,385,1177,416,37.75,1
244400,3.5781,4,1611,239,275,84,33.89,0
144300,2.8,34,1999,427,2391,439,34.28,0
164200,2.3333,31,2402,632,2830,603,34.08,0
237600,5.8914,26,5321,889,2932,896,33.79,0
243000,5.0672,24,3173,548,1351,536,37.95,1
83300,2.6726,29,1476,220,902,205,35.64,0
87500,2.1042,16,343,85,29,14,33.82,0
131700,3.1827,41,1105,227,443,210,38.56,1
47000,1.2857,27,1783,441,1163,409,39.1,1
195300,1.9286,29,2568,747,1743,659,36.97,1
184100,4.3278,8,7520,1336,3833,1287,38.36,1
128800,3.4519,15,2740,503,1188,445,41.28,1
118200,2.2917,19,1048,262,493,184,39.12,1
212800,3.3942,21,2056,461,1332,429,34.15,0
141300,2.9219,17,2146,396,862,351,38.73,1
227100,2.7038,26,1609,534,1868,497,34.08,0
80800,3.0257,52,862,215,994,213,37.78,1
201300,5.3623,15,2094,316,937,277,33.73,0
183300,2.93,23,1906,525,1029,491,32.8,0
155000,2.4333,25,1709,442,1177,410,33.9,0
143800,3.1944,40,506,119,397,114,34.07,0
137500,3.7614,14,4841,1130,813,517,37.4,1
280100,3.7604,15,3082,536,1268,531,33.81,0
245900,3.0938,34,3100,617,1155,542,35.14,1
243600,3.2813,48,1835,380,956,370,34.05,0
103000,3.7917,5,2185,488,1379,458,34.1,0
103800,2.4878,14,11827,2445,6640,2299,34.1,0
235900,2.6198,18,2375,652,1252,586,37.53,1
161900,4.425,30,1904,331,816,325,39.15,1
394400,4.2031,29,3110,650,1212,642,34.15,0
145800,1.5278,19,1461,340,515,227,39.83,1
184800,4.7891,28,1433,290,877,313,37.96,1
242300,3.5644,32,2421,671,1491,587,33.88,0
335500,3.6745,31,2887,646,1626,637,34.18,0
165500,3.5625,15,4236,753,703,255,34.25,0
204800,7.6632,28,1650,210,557,211,33.95,0
159700,4.5032,11,5103,825,2456,810,39.82,1
169100,3.145,37,2337,452,948,437,33.98,0
478600,3.75,38,1183,196,628,205,37.86,1
258900,4.3672,4,3261,689,926,561,33.12,0
324000,4.119,28,2685,581,1243,529,33.86,0
103100,2.2868,17,3276,628,3546,585,41.81,1
138100,3.2632,43,2369,413,944,422,37.66,1
91600,1.5268,30,1041,275,877,270,33.94,0
228900,6.1768,33,3071,466,1348,513,32.76,0
138800,2.3221,17,5236,1325,3308,1233,32.79,0
252200,4.2321,30,2143,427,1107,416,34.1,0
420300,6.221,52,1380,203,530,210,37.6,1
243600,5.0,37,1516,344,983,347,34.19,0
142100,4.2324,9,4999,874,2687,817,38.34,1
67500,1.075,52,114,26,158,26,35.38,0
92800,2.5969,47,1303,278,694,269,38.1,1
190800,4.6483,12,4695,1110,2153,989,33.7,0
223900,3.3681,31,3205,727,1647,664,33.93,0
143400,3.4032,31,2779,639,2259,670,34.09,0
132700,2.186,10,2229,537,982,512,39.23,1
99000,0.9166,42,705,173,739,140,33.95,0
67700,1.4079,30,2173,560,1509,486,34.11,0
227400,5.8461,34,1290,203,664,204,33.81,0
228600,4.3056,44,1785,307,779,291,33.82,0
135800,3.9766,8,3484,647,2169,619,34.53,0
362100,5.2803,35,2445,533,1187,519,37.42,1
281300,3.8864,52,1674,346,734,335,37.74,1
500001,10.5536,28,3065,406,1101,391,33.77,0
90600,2.2969,43,269,74,295,79,33.93,0
66300,2.3043,33,1028,226,658,197,37.47,1
150200,3.1672,8,4116,766,1785,745,34.04,0
170300,2.4931,36,1240,349,1383,338,34.07,0
99300,1.7609,24,1602,426,751,257,39.24,1
322900,4.1296,38,2521,647,1091,597,34.02,0
213200,3.9375,17,1480,241,202,80,39.19,1
217000,3.9375,51,1941,378,1012,371,34.14,0
267900,5.1624,12,3964,524,1707,549,33.89,0
206300,2.6538,9,1282,334,1176,305,37.75,1
376800,4.5625,36,3908,732,1688,725,34.16,0
87500,1.2813,42,900,239,506,231,38.56,1
304700,4.6792,23,1551,236,555,243,38.44,1
460200,4.4688,43,2061,437,817,385,37.45,1
128500,2.2639,52,1124,245,528,226,38.01,1
284600,5.9291,23,806,158,373,156,37.4,1
119600,2.135,27,1084,287,1085,279,34.03,0
208600,3.9227,24,6303,1277,3728,1252,33.84,0
117500,3.4423,6,670,301,655,284,37.79,1
66900,1.9138,29,2274,514,1234,521,36.32,0
204800,2.4286,34,2807,768,2217,744,33.82,0
74600,3.1417,15,2376,538,1197,510,36.8,1
109100,2.0982,26,2629,763,2721,767,32.67,0
114300,2.5455,47,722,235,930,226,34.05,0
308300,3.9038,49,1230,279,669,269,34.04,0
113000,2.569,10,3587,774,1398,763,35.4,0
91700,2.5812,14,1740,391,850,317,35.6,0
134200,2.9934,20,2067,384,904,333,38.97,1
425000,2.3417,40,1901,679,865,587,33.98,0
53900,1.8431,25,2115,482,1976,474,36.95,1
310600,4.2625,37,1677,269,689,283,37.89,1
241700,3.75,52,104,20,32,17,34.09,0
226800,4.0655,33,2015,484,1285,419,37.4,1
100800,4.5714,29,1871,315,1066,309,36.27,1
238000,3.0469,40,1883,397,1411,438,37.71,1
245500,4.0585,29,3559,552,1533,545,33.16,0
156500,4.375,35,1309,276,1113,253,34.05,0
115600,3.5667,13,1115,255,86,32,38.71,1
66400,2.6932,31,1746,321,1186,360,36.8,1
58800,2.03,38,1912,456,1131,408,36.78,1
223600,5.4625,9,7538,1125,3450,1077,33.85,0
169300,3.0972,25,3445,898,5558,894,34.2,0
166700,2.2442,42,2225,485,1544,464,34.14,0
225000,4.7039,24,845,190,482,190,33.73,0
72600,1.8463,17,3107,752,2160,643,34.12,0
160300,4.4347,14,3064,496,1681,503,32.86,0
147500,1.947,24,3613,973,2002,931,32.64,0
91200,2.7846,21,2868,602,855,559,33.22,0
208300,2.4519,25,1205,260,608,272,37.95,1
335300,3.1653,44,3371,794,1738,753,37.78,1
58000,2.1838,18,945,205,385,207,39.78,1
226500,3.5164,47,3457,622,1700,579,34.18,0
345200,7.2758,52,1260,202,555,209,32.74,0
106800,3.1944,29,2051,351,915,343,36.22,0
500001,0.4999,28,238,58,142,31,34.15,0
275000,2.5166,52,6016,2509,3436,2119,37.79,1
95800,1.3532,14,2374,557,723,427,39.03,1
97200,2.319,21,1314,375,1505,366,34.02,0
155000,2.4567,18,2413,533,1129,551,32.71,0
400000,7.7197,26,48,8,19,8,38.0,1
500001,2.5588,36,2963,838,1129,745,34.1,0
304300,5.5845,20,5689,992,3752,1002,37.67,1
359200,7.1882,27,2578,314,976,340,33.77,0
144700,2.9624,16,7963,1881,3769,1804,32.77,0
352800,3.1842,42,1159,261,465,247,37.54,1
355600,5.6349,24,2131,343,874,373,37.84,1
99100,3.5379,26,2851,533,1544,499,38.02,1
250400,4.0,52,1872,357,984,364,34.16,0
105600,3.3516,26,1008,164,568,196,34.12,0
500001,8.2266,28,2181,284,728,238,37.36,1
162000,2.9194,41,1908,503,1557,453,34.12,0
272200,6.5843,20,3977,540,1886,541,33.88,0
245900,6.0088,36,2392,444,1346,445,33.89,0
183300,2.3981,33,1177,468,1533,430,34.07,0
220700,6.4211,17,2786,396,1228,396,33.03,0
161000,3.9722,29,2347,464,1135,490,37.97,1
303900,7.2147,19,3913,460,1646,454,33.6,0
266200,4.9528,13,5543,857,2074,737,32.76,0
90100,1.043,36,1469,400,1271,340,32.69,0
87500,4.3021,15,1413,279,803,277,32.78,0
209400,3.6694,17,2549,596,1169,500,38.03,1
188700,5.5205,14,5094,729,1974,705,38.8,1
101400,2.0754,39,2569,688,2601,630,33.97,0
387500,7.7738,14,2714,361,1259,375,37.21,1
359100,4.1898,23,3578,753,1455,649,34.26,0
327300,2.75,27,1965,631,1042,596,34.03,0
279200,2.6429,47,1572,417,790,384,34.43,1
233600,5.1654,41,733,155,652,140,37.48,1
163500,4.5893,45,1766,332,869,327,37.78,1
124200,4.2621,4,2782,817,1309,787,32.78,0
450000,3.9722,25,4149,1067,1749,1000,34.0,0
111900,3.3958,25,4261,893,2319,702,34.11,0
90800,2.7375,15,8948,1985,1316,514,34.25,0
120600,3.6422,26,1058,232,891,243,34.94,1
483800,6.0876,40,1965,354,666,357,34.14,0
366700,3.8125,27,1806,465,791,358,33.61,0
201000,2.5694,42,4110,846,2147,674,37.74,1
333600,4.0846,52,1538,305,819,319,37.74,1
362500,3.5078,24,730,196,335,203,32.81,0
170100,3.1713,34,2753,654,3117,631,33.75,0
246700,4.475,32,1385,356,1096,353,37.66,1
161200,2.875,34,1796,428,918,424,32.77,0
147000,3.9,7,1737,290,747,265,39.74,1
117900,4.0815,21,1922,373,1130,372,37.79,1
111300,2.8194,9,5927,1269,3369,1176,38.89,1
266500,4.0234,52,1508,278,1138,304,37.71,1
113500,3.7804,27,3019,501,1580,523,34.69,0
329100,3.0877,47,2695,643,1505,644,37.78,1
500001,4.2857,52,1724,412,540,319,37.8,1
236500,3.2679,26,778,173,539,186,33.86,0
122200,3.1736,26,3106,603,1396,576,34.17,0
81900,2.8812,23,2679,546,1424,529,39.93,1
386400,5.6206,44,1395,269,736,288,37.59,1
184800,3.2222,31,3633,843,2677,797,37.38,1
160700,4.4342,20,1678,307,840,316,34.96,1
101600,2.3487,38,1451,315,786,340,38.53,1
424000,6.083,46,1628,259,500,258,34.15,0
262500,4.0208,52,777,148,362,144,37.28,1
369400,4.2143,35,2459,438,970,437,34.16,0
115100,3.3333,41,616,196,814,180,34.05,0
281700,3.425,36,2657,738,2274,723,34.07,0
98100,3.0365,19,1902,335,1102,313,32.59,0
131100,2.5735,31,2020,476,1408,437,38.43,1
251800,3.5647,33,1486,290,781,274,38.22,1
232700,4.763,11,5330,1056,2801,1028,34.28,0
139200,3.6455,9,5558,1099,2717,1043,38.73,1
71500,2.1793,22,2124,450,1122,446,39.67,1
340500,5.6159,28,908,142,368,143,34.18,0
270800,2.5125,52,1560,451,700,419,37.97,1
155600,2.8547,25,2559,654,1674,623,34.13,0
89200,2.7336,14,1680,343,931,350,36.3,0
167000,4.3527,33,1685,333,1484,318,33.86,0
103100,2.3617,6,5667,1385,2447,1199,34.51,0
180500,3.2212,35,2599,552,2726,543,34.19,0
51200,1.9907,17,2783,678,2566,641,35.2,0
204600,4.3839,36,1453,270,808,275,34.25,0
387200,3.5536,11,1077,318,590,264,37.88,1
162500,2.6098,13,5451,1194,2957,1081,38.07,1
120400,3.2061,20,3899,763,2198,779,38.26,1
139700,3.7562,17,2761,501,1128,482,38.64,1
98200,2.1771,40,2402,509,1197,486,38.13,1
269400,5.2528,25,3075,564,1633,543,37.27,1
269100,3.3922,26,1182,309,620,306,37.28,1
500001,5.6327,18,6476,1082,2413,958,34.17,0
49600,1.9034,27,1573,361,847,330,40.54,1
58000,2.4695,26,2276,460,1455,474,39.08,1
65900,1.7798,30,1509,308,967,278,37.94,1
175400,5.5677,16,1499,232,918,239,34.03,0
391800,6.2425,52,2551,417,894,404,37.88,1
280800,3.875,44,2419,437,1045,432,34.15,0
90700,2.7917,41,1467,328,673,310,37.64,1
500001,10.0743,50,1975,245,644,251,37.56,1
92300,1.8039,42,932,254,900,263,37.77,1
227100,5.3107,35,2132,368,1128,341,34.28,0
162500,2.1094,29,2568,682,1191,642,32.76,0
290900,5.2534,31,3890,711,1898,717,37.31,1
183100,3.2373,32,4492,1075,4119,1035,34.07,0
283200,6.311,25,2197,320,934,330,34.3,0
177400,6.0266,8,2205,348,777,341,32.83,0
238700,6.1949,5,5659,931,2565,902,33.01,0
321300,3.4583,52,2189,433,1147,420,37.74,1
261500,4.3125,44,2602,509,691,343,38.1,1
99300,2.0114,36,2041,531,1390,464,33.94,0
226100,5.257,25,6909,1154,3912,1121,34.03,0
51700,1.5608,31,1533,361,1518,386,36.4,0
156900,3.455,37,2303,379,1026,357,32.63,0
160900,4.2357,11,1430,292,921,294,33.14,0
222400,3.6563,40,1696,372,835,385,34.17,0
305200,6.3427,15,539,71,287,66,33.71,0
138800,3.0871,42,1411,314,1432,322,33.92,0
230700,4.8145,25,3495,834,2484,797,37.39,1
94300,2.0833,50,1587,448,877,380,38.56,1
97200,1.875,29,1899,524,1357,443,37.96,1
382100,5.5922,21,3318,578,1273,538,32.99,0
193200,5.0915,31,2030,337,867,341,37.98,1
209500,3.4031,15,4885,988,2175,924,38.3,1
