openml_task_id,openml_interval_start,openml_interval_end,openml_classifier_moa.WEKAClassifier_J48(1),openml_classifier_moa.LeveragingBag_HoeffdingTree(1),openml_classifier_moa.WEKAClassifier_SMO_PolyKernel(1),openml_classifier_moa.kNN(1),openml_classifier_moa.WEKAClassifier_OneR(1),openml_classifier_moa.LeveragingBag_kNN(1),openml_classifier_moa.OzaBoost_HoeffdingTree(1),openml_classifier_moa.HoeffdingTree(1),openml_classifier_moa.SGD(1),openml_classifier_moa.NaiveBayes(1),openml_classifier_moa.WEKAClassifier_REPTree(1),openml_classifier_moa.OzaBag_HoeffdingTree(1),openml_classifier_moa.SPegasos(1),meta_REPTreeDepth2ErrRate,meta_J48.00001.ErrRate,meta_NBErrRate,meta_MeanMutualInformation,meta_NBAUC,meta_DecisionStumpKappa,meta_HoeffdingDDM.warnings,meta_NoiseToSignalRatio,meta_RandomTreeDepth3AUC_K=0,meta_PercentageOfNumericAtts,meta_EquivalentNumberOfAtts,meta_HoeffdingDDM.changes,meta_ClassEntropy,meta_NaiveBayesDdm.changes,meta_NumNominalAtts,meta_REPTreeDepth3AUC,meta_MeanAttributeEntropy,meta_MeanKurtosisOfNumericAtts,meta_REPTreeDepth3Kappa,meta_J48.001.ErrRate,meta_NumNumericAtts,meta_ClassCount,meta_J48.00001.AUC,meta_PercentageOfBinaryAtts,meta_DecisionStumpAUC,meta_RandomTreeDepth1AUC_K=0,meta_REPTreeDepth2Kappa,meta_PositivePercentage,meta_J48.0001.ErrRate,meta_MinNominalAttDistinctValues,meta_RandomTreeDepth2AUC_K=0,meta_MeanMeansOfNumericAtts,meta_J48.0001.kappa,meta_MeanNominalAttDistinctValues,meta_J48.00001.kappa,meta_PercentageOfNominalAtts,meta_REPTreeDepth1Kappa,meta_NegativePercentage,meta_NumBinaryAtts,meta_NaiveBayesDdm.warnings,meta_MaxNominalAttDistinctValues,meta_J48.001.AUC,meta_J48.0001.AUC,meta_NBKappa,meta_REPTreeDepth1AUC,meta_NaiveBayesAdwin.changes,meta_REPTreeDepth3ErrRate,meta_DecisionStumpErrRate,meta_MeanStdDevOfNumericAtts,meta_Dimensionality,meta_REPTreeDepth2AUC,meta_StdvNominalAttDistinctValues,meta_HoeffdingAdwin.changes,meta_MeanSkewnessOfNumericAtts,meta_DefaultAccuracy,meta_REPTreeDepth1ErrRate,meta_J48.001.kappa,meta_NumAttributes,label
160,165000,166000,0.972735,0.98556,0.968163,0.964114,0.972861,0.964102,0.987373,0.986036,0.874,0.928536,0.979169,0.986452,0.848602,2.9,3.0,9.6,0.16424,0.979439,0.760491,0,-7.088652,0.938756,0.0,6.087528,0,0.999815,0,22,0.968194,-1.0,0.0,0.941946,2.9,0,2,0.966984,0.173913,0.873776,0.806887,0.941946,0.492,2.9,2,0.921874,0.0,0.941946,5.681818,0.939942,0.956522,0.941946,0.508,4,0,12,0.96839,0.96839,0.807544,0.968194,0,2.9,12.0,0.0,0.023,0.968194,3.029794,3,0.0,0.508,2.9,0.941946,23,5
2165,157000,158000,0.876842,0.919006,0.890563,0.886089,0.835722,0.885987,0.914171,0.906127,0.788392,0.876367,0.838101,0.910975,0.705165,13.5,13.5,11.4,0.054171,0.939187,0.540671,0,13.385016,0.844522,0.3,13.509277,0,0.731816,0,13,0.775521,0.779256,2.043181,0.53696,13.1,6,2,0.73129,0.65,0.730851,0.764758,0.530598,0.205,13.1,2,0.824019,48.786796,0.55545,2.0,0.528664,0.65,0.540671,0.795,13,0,2,0.760163,0.760163,0.67053,0.730851,0,14.0,13.4,30.529156,0.02,0.731155,0.0,1,1.072937,0.795,13.4,0.55545,20,1
188,307000,308000,0.603731,0.913471,0.599636,0.915198,0.60164,0.915263,0.902948,0.830497,0.655666,0.656679,0.581692,0.851841,0.81038,17.8,10.6,15.3,0.054204,0.93778,0.236908,10,-19.448669,0.888254,0.30137,-18.448669,7,-1.0,8,50,0.891698,-1.0,-0.426124,0.712451,9.7,22,10,0.936629,0.60274,0.669619,0.722148,0.707293,0.0,10.6,2,0.805222,2.392193,0.828846,2.3,0.828846,0.684932,0.236908,0.468,44,13,7,0.949718,0.936629,0.758641,0.669619,2,17.6,45.5,0.056679,0.073,0.889539,0.909137,3,0.011749,0.468,45.5,0.844237,73,2
2162,661000,662000,0.833435,0.887807,0.873279,0.84806,0.757088,0.848535,0.880402,0.877938,0.722763,0.868023,0.815385,0.880267,0.58258,19.6,21.7,13.1,0.115028,0.943768,0.568482,0,8.800229,0.852076,0.428571,-8.693547,0,-1.0,0,7,0.849493,1.127299,0.302526,0.635237,18.8,6,5,0.774614,0.214286,0.776149,0.774044,0.599267,0.0,21.0,2,0.862371,97.233386,0.571404,2.714286,0.561006,0.5,0.568482,0.56,3,0,4,0.834096,0.784168,0.734985,0.784578,0,17.8,21.4,17.128963,0.014,0.847601,0.755929,0,0.535672,0.56,21.4,0.617948,14,1
2131,619000,620000,0.510029,0.639305,0.582445,0.575906,0.359961,0.577084,0.668298,0.652347,0.016729,0.605695,0.44059,0.668816,0.016724,59.5,48.2,44.9,0.154229,0.815867,0.201843,0,9.774788,0.631974,0.576923,15.122186,0,2.332273,0,10,0.638512,1.66178,0.814645,0.20575,49.2,15,7,0.712784,0.153846,0.674272,0.610978,0.196713,0.003,48.2,2,0.639735,1431.573588,0.342646,6.0,0.342646,0.384615,0.206539,0.327,4,0,22,0.741663,0.712784,0.424487,0.628513,0,59.2,56.5,613.244408,0.026,0.641326,6.110101,0,0.75216,0.327,58.8,0.345805,26,4
2165,266000,267000,0.878652,0.921154,0.892667,0.88682,0.8377,0.886554,0.916888,0.909517,0.804172,0.877086,0.83967,0.914524,0.714045,19.1,16.3,12.9,0.046653,0.914315,0.218721,0,15.946981,0.788157,0.3,16.713803,0,0.77975,0,13,0.728866,0.790629,1.958043,0.319063,15.5,6,2,0.680827,0.65,0.724171,0.725756,0.319063,0.231,16.3,2,0.765246,48.057192,0.450505,2.0,0.450505,0.65,0.218721,0.769,13,0,2,0.715293,0.680827,0.643914,0.626591,0,19.1,21.2,29.008035,0.02,0.728866,0.0,2,1.075199,0.769,21.2,0.524084,20,1
2159,71000,72000,0.892111,0.983361,0.965056,0.962861,0.491347,0.963264,0.980306,0.977722,0.465556,0.986306,0.889236,0.984208,0.396208,38.4,12.8,1.5,0.381242,0.999548,0.316125,0,2.31759,0.911212,0.028571,6.416073,0,2.446075,0,33,0.917037,1.264804,-0.852855,0.686668,13.0,1,6,0.936536,0.028571,0.77803,0.784526,0.514778,0.057,13.0,2,0.864603,35.992462,0.837322,3.909091,0.840027,0.942857,0.322169,0.297,1,0,4,0.933999,0.933999,0.981298,0.750649,5,24.8,52.2,15.518471,0.035,0.859446,0.384353,6,0.040364,0.297,52.3,0.837322,35,3
2165,693000,694000,0.879723,0.924612,0.894476,0.887298,0.839562,0.886951,0.921405,0.913581,0.829061,0.877036,0.84195,0.918635,0.72645,19.9,15.8,13.3,0.043065,0.90998,0.41342,0,17.190365,0.788037,0.3,17.173317,0,0.739567,0,13,0.716884,0.783366,2.312358,0.323955,15.8,6,2,0.68033,0.65,0.67655,0.662029,0.331011,0.209,15.8,2,0.764903,47.447979,0.417563,2.0,0.422519,0.65,0.236092,0.791,13,0,2,0.680545,0.680545,0.609435,0.631086,0,18.3,16.8,28.225879,0.02,0.71969,0.0,0,1.151766,0.791,18.9,0.417563,20,1
2150,290000,291000,0.491155,0.677522,0.726192,0.675162,0.203938,0.675289,0.700959,0.685969,0.17988,0.689306,0.495021,0.699729,0.126241,67.8,51.7,34.8,-1.0,0.932844,0.084521,0,-1.0,0.787095,0.979167,-1.0,0,3.314355,0,0,0.788164,-1.0,0.274287,0.355915,53.1,47,10,0.776277,0.0,0.675196,0.679536,0.242181,0.081,52.7,-1,0.75326,88.687671,0.413514,-1.0,0.424784,0.0,0.073791,0.114,0,0,-1,0.758309,0.7705,0.612774,0.676313,2,57.8,81.7,40.00986,0.048,0.741569,-1.0,0,0.728179,0.114,82.7,0.409316,48,9
198,790000,791000,0.221628,0.837488,0.265321,0.893668,0.252552,0.893819,0.300384,0.467549,0.16669,0.31034,0.227798,0.601834,0.222528,62.9,35.4,46.0,-1.0,0.801811,0.079231,0,-1.0,0.705364,0.909091,-1.0,0,2.197698,0,0,0.687945,-1.0,0.224563,0.214501,32.7,10,5,0.819923,0.0,0.587696,0.587696,0.099396,0.087,34.2,-1,0.661475,0.505962,0.550816,-1.0,0.533538,0.0,0.055749,0.324,0,0,-1,0.813781,0.816345,0.38553,0.566391,0,57.8,67.1,0.339981,0.011,0.575108,-1.0,0,0.087203,0.324,65.0,0.568209,11,2
2130,632000,633000,0.342145,0.35964,0.406837,0.353861,0.111076,0.355637,0.122839,0.501889,0.043521,0.438559,0.320793,0.531194,0.038826,87.1,68.7,67.2,-1.0,0.823093,0.036169,0,-1.0,0.710123,0.941176,-1.0,0,4.67793,0,0,0.733087,-1.0,0.1639,0.146765,67.7,16,26,0.709756,0.0,0.643297,0.643297,0.088087,0.023,68.8,-1,0.697055,5.929923,0.283761,-1.0,0.284632,0.0,0.036169,0.05,0,0,-1,0.70303,0.705007,0.30035,0.643297,1,81.6,91.9,2.28234,0.017,0.702632,-1.0,1,0.275794,0.05,91.9,0.295146,17,4
127,77000,78000,0.75059,0.769205,0.758179,0.754333,0.722731,0.754462,0.744385,0.769923,0.715256,0.752833,0.735974,0.771397,0.659295,25.0,28.0,24.3,0.032705,0.766766,0.347114,0,-31.576594,0.691012,0.0,26.156772,0,0.855451,0,9,0.68625,-1.0,0.0,0.26436,28.0,0,2,0.5,0.3,0.674752,0.664645,0.26436,0.28,28.0,2,0.701119,0.0,0.0,5.666667,0.0,0.9,0.0,0.72,3,0,13,0.5,0.5,0.342034,0.5,0,25.0,27.1,0.0,0.01,0.68625,4.472136,0,0.0,0.72,28.0,0.0,10,4
194,775000,776000,0.730957,0.909613,0.483843,0.889889,0.402393,0.889933,0.869003,0.823063,0.166742,0.512527,0.698918,0.869138,0.171455,58.8,33.4,51.8,-1.0,0.755766,0.136674,0,-1.0,0.73566,0.909091,-1.0,0,2.227644,0,0,0.738493,-1.0,0.063908,0.331186,31.5,10,5,0.83011,0.0,0.604715,0.601054,0.190892,0.102,31.4,-1,0.660589,0.498617,0.592925,-1.0,0.56447,0.0,0.136674,0.288,0,0,-1,0.834109,0.834909,0.320486,0.604715,0,50.4,61.8,0.331155,0.011,0.627151,-1.0,0,-0.03046,0.288,61.8,0.591651,11,1
193,673000,674000,0.183061,0.85589,0.450981,0.695331,0.469398,0.703552,0.863979,0.749469,0.689001,0.585745,0.442326,0.820823,0.749352,14.5,14.3,19.8,0.024423,0.823072,0.533366,0,-41.945146,0.796691,0.454545,-40.945146,0,-1.0,0,5,0.820383,-1.0,-0.33671,0.641214,14.3,5,10,0.790415,0.0,0.745744,0.744822,0.622784,0.0,14.3,4,0.827761,4.9352,0.624746,4.0,0.624746,0.454545,0.533366,0.694,0,0,4,0.790415,0.790415,0.515086,0.745744,2,14.0,17.3,1.226423,0.011,0.794981,0.0,2,-0.04068,0.694,17.3,0.624746,11,5
2132,297000,298000,0.848883,0.907943,0.883419,0.860993,0.723681,0.861587,0.901322,0.890171,0.543819,0.860148,0.820876,0.895101,0.543819,24.0,23.5,14.4,0.080374,0.936292,0.490849,0,13.358237,0.816246,0.157895,15.504267,0,1.246148,0,15,0.809321,1.154036,5.457024,0.52429,21.7,3,4,0.811325,0.473684,0.747344,0.681245,0.523722,0.016,21.6,2,0.761202,2.072176,0.585282,2.933333,0.533594,0.789474,0.471958,0.565,9,0,8,0.822706,0.824529,0.727907,0.772675,0,24.2,26.6,1.030278,0.019,0.79517,1.624221,0,1.903803,0.565,27.4,0.582077,19,1
2166,24000,25000,0.342,0.54984,0.31076,0.35336,0.17136,0.35356,0.09232,0.36308,0.09272,0.36316,0.2838,0.52624,0.10208,88.9,75.1,72.3,0.035749,0.762598,0.066047,0,53.997943,0.648816,0.714286,96.680779,0,3.456207,0,3,0.592434,1.966102,-0.534117,0.045582,76.2,10,11,0.689151,0.142857,0.63006,0.557645,0.019682,0.082,76.3,2,0.627214,-0.09352,0.156887,6.333333,0.170671,0.214286,-0.007321,0.102,2,0,15,0.686868,0.687292,0.203986,0.490068,0,86.6,84.6,0.695592,0.014,0.566198,7.505553,0,0.110189,0.102,91.4,0.158433,14,1
188,825000,826000,0.551362,0.894465,0.544571,0.853642,0.415479,0.856369,0.87824,0.775787,0.67158,0.426983,0.402107,0.815054,0.751683,15.5,14.1,22.8,0.005748,0.832279,0.670434,0,-174.959521,0.795814,0.30137,-173.959521,0,-1.0,0,50,0.867509,-1.0,-1.009954,0.680424,14.1,22,10,0.856032,0.60274,0.829031,0.75633,0.68709,0.0,14.1,2,0.779025,1.435865,0.717256,2.3,0.717256,0.684932,0.670434,0.536,44,0,7,0.856032,0.856032,0.549652,0.829031,2,15.9,16.3,0.329316,0.073,0.854767,0.909137,2,-0.03159,0.536,16.3,0.717256,73,1
2127,588000,589000,0.915008,0.954795,0.921504,0.892039,0.827034,0.892114,0.956267,0.936864,0.108908,0.845414,0.92552,0.94218,0.109051,17.5,17.6,14.0,0.068679,0.947864,0.38334,0,-15.560445,0.795671,0.153846,-14.560445,0,-1.0,0,32,0.940449,-1.0,2.245255,0.774176,17.5,6,6,0.704726,0.487179,0.637924,0.65145,0.45318,0.0,17.4,2,0.711722,370.224508,0.464325,3.21875,0.461556,0.820513,0.401534,0.754,19,0,10,0.705432,0.707988,0.672439,0.673429,0,8.8,18.0,415.647894,0.039,0.823023,2.059351,0,1.627398,0.754,17.9,0.462734,39,5
194,22000,23000,0.709565,0.789,0.473087,0.883522,0.39713,0.883565,0.537348,0.563739,0.167261,0.526565,0.674783,0.564391,0.199261,62.3,32.3,50.9,-1.0,0.750677,0.096254,0,-1.0,0.681533,0.909091,-1.0,0,2.218222,0,0,0.679429,-1.0,0.010826,0.251237,30.9,10,5,0.831421,0.0,0.583081,0.551505,0.146282,0.088,31.7,-1,0.611674,0.497164,0.587878,-1.0,0.579983,0.0,0.09824,0.305,0,0,-1,0.829775,0.835087,0.332484,0.582006,0,55.8,66.4,0.334991,0.011,0.629777,-1.0,0,-0.035505,0.305,66.2,0.598527,11,2
178,945000,946000,0.86444,0.943267,0.884904,0.923399,0.729532,0.923255,0.949653,0.938683,0.866659,0.887022,0.82583,0.941762,0.851411,18.3,20.9,12.1,0.034148,0.949002,0.481728,0,28.010279,0.816507,0.0,29.253692,0,0.998958,0,32,0.841131,0.990646,0.0,0.621613,20.9,0,2,0.784563,0.515152,0.724636,0.761129,0.632267,0.481,20.9,1,0.797524,0.0,0.577634,2.40625,0.577634,0.969697,0.420061,0.519,17,0,8,0.784563,0.784563,0.757114,0.761129,0,18.8,25.5,0.0,0.033,0.842745,1.411002,0,0.0,0.519,28.9,0.577634,33,5
2156,943000,944000,0.723888,0.783413,0.769432,0.728783,0.641159,0.729502,0.773709,0.776719,0.597543,0.76626,0.724776,0.782132,0.568716,29.6,32.3,27.9,0.018116,0.759506,0.0,0,-56.20092,0.646782,0.333333,50.101131,0,0.907614,0,13,0.669554,-1.0,0.603422,0.252088,32.3,7,2,0.498857,0.095238,0.635107,0.603471,0.260972,0.323,32.3,2,0.671516,474.146775,0.0,4.307692,0.0,0.619048,0.079589,0.677,2,0,11,0.498857,0.498857,0.324318,0.58837,0,30.3,32.3,413.730668,0.021,0.675208,2.287087,0,0.879872,0.677,31.0,0.0,21,1
178,176000,177000,0.862198,0.931023,0.882503,0.922898,0.727605,0.922768,0.940175,0.924209,0.838164,0.886198,0.825062,0.927339,0.827119,24.0,19.6,12.1,0.03312,0.941388,0.47863,0,28.734141,0.84636,0.0,30.168401,0,0.999166,0,32,0.860238,0.984783,0.0,0.620814,18.8,0,2,0.857507,0.515152,0.741467,0.725106,0.517803,0.483,19.6,1,0.836637,0.0,0.606904,2.40625,0.606904,0.969697,0.47863,0.517,17,0,8,0.848076,0.857507,0.758394,0.754318,0,18.9,26.4,0.0,0.033,0.840512,1.411002,0,0.0,0.517,26.4,0.624077,33,5
2127,455000,456000,0.914607,0.952776,0.921118,0.891868,0.826417,0.891941,0.954406,0.93223,0.108818,0.845441,0.92509,0.938678,0.108982,16.5,13.7,16.2,0.069135,0.933058,0.424971,0,7.279453,0.703916,0.153846,17.242094,0,1.192032,0,32,0.893227,0.5724,2.272725,0.717411,12.4,6,6,0.774195,0.487179,0.656604,0.581778,0.443939,0.001,12.8,2,0.642452,370.265232,0.618331,3.21875,0.599519,0.820513,0.435793,0.766,19,0,10,0.77982,0.774031,0.618587,0.701347,0,11.1,16.3,419.738245,0.039,0.690506,2.059351,0,1.633696,0.766,16.5,0.63465,39,5
195,977000,978000,0.675699,0.84981,0.48893,0.883442,0.396237,0.8835,0.80029,0.762558,0.166363,0.519713,0.64167,0.805215,0.172739,62.3,32.6,50.2,-1.0,0.74592,0.059753,0,-1.0,0.729022,0.909091,-1.0,0,2.213051,0,0,0.732047,-1.0,-0.01167,0.269485,31.8,10,5,0.833746,0.0,0.554584,0.554584,0.166318,0.096,32.9,-1,0.623927,0.495433,0.571739,-1.0,0.576468,0.0,0.035524,0.297,0,0,-1,0.835067,0.833485,0.336691,0.536845,0,55.3,69.3,0.334623,0.011,0.654257,-1.0,0,-0.002261,0.297,69.3,0.585646,11,2
178,353000,354000,0.863531,0.936653,0.883955,0.92348,0.728415,0.923285,0.944864,0.930664,0.85454,0.886444,0.825853,0.933469,0.83722,16.7,21.6,11.3,0.03344,0.950717,0.494113,0,28.691472,0.862896,0.0,29.873222,0,0.998958,0,32,0.863833,0.99288,0.0,0.667368,21.5,0,2,0.818187,0.515152,0.735712,0.797834,0.664982,0.481,21.6,1,0.858119,0.0,0.570254,2.40625,0.570254,0.969697,0.494113,0.519,17,0,8,0.811452,0.818187,0.773863,0.740317,0,16.6,25.6,0.0,0.033,0.870407,1.411002,0,0.0,0.519,25.6,0.571887,33,5
2133,932000,933000,0.605057,0.81257,0.782254,0.691392,0.27031,0.694335,0.857046,0.839419,0.144357,0.83255,0.613395,0.853536,0.194405,65.3,39.9,23.6,-1.0,0.969728,0.104469,0,-1.0,0.75328,0.987013,-1.0,0,3.314496,0,0,0.850116,-1.0,-0.251856,0.42719,39.6,76,10,0.837649,0.0,0.709949,0.630586,0.271514,0.078,39.8,-1,0.705206,0.131838,0.557319,-1.0,0.556126,0.0,0.10427,0.114,0,0,-1,0.810785,0.833785,0.737396,0.709504,4,51.4,80.5,0.06713,0.077,0.809083,-1.0,4,0.499405,0.114,80.5,0.559547,77,5
160,483000,484000,0.97449,0.987992,0.97014,0.964143,0.97451,0.964165,0.988612,0.987605,0.903107,0.927837,0.981107,0.988333,0.866779,2.4,2.4,6.5,0.180458,0.985353,0.74517,0,-6.541449,0.979792,0.0,5.538314,0,0.999434,0,22,0.970585,-1.0,0.0,0.95193,2.4,0,2,0.972783,0.173913,0.870122,0.970585,0.95193,0.486,2.4,2,0.983249,0.0,0.95193,5.681818,0.95193,0.956522,0.95193,0.514,4,8,12,0.972783,0.972783,0.869496,0.970585,0,2.4,12.8,0.0,0.023,0.970585,3.029794,0,0.0,0.514,2.4,0.95193,23,5
197,833000,834000,0.221799,0.554875,0.255201,0.840211,0.246084,0.840153,0.000603,0.324592,0.166658,0.291843,0.220571,0.374713,0.187113,56.5,40.8,49.0,-1.0,0.770283,0.064087,0,-1.0,0.714303,0.909091,-1.0,0,2.21868,0,0,0.713313,-1.0,-0.008876,0.321672,38.2,10,5,0.792408,0.0,0.582211,0.582211,0.219819,0.097,39.4,-1,0.662204,0.489843,0.480472,-1.0,0.4604,0.0,0.111445,0.311,0,0,-1,0.801043,0.798446,0.358161,0.589238,0,50.0,66.9,0.34443,0.011,0.67156,-1.0,0,0.056836,0.311,65.8,0.500469,11,10
200,281000,282000,0.857684,0.889968,0.869777,0.867652,0.682713,0.867989,0.883071,0.882933,0.807035,0.874621,0.86106,0.88494,0.774365,22.5,19.8,11.9,-1.0,0.879473,0.356358,0,-1.0,0.816842,0.75,-1.0,0,0.973242,0,0,0.819128,-1.0,-1.178379,0.567233,18.2,3,2,0.792426,0.0,0.694693,0.694693,0.511142,0.404,18.5,-1,0.792524,5.122607,0.601376,-1.0,0.570342,0.0,0.380294,0.596,0,0,-1,0.823086,0.818038,0.748784,0.70037,0,20.5,32.8,2.852261,0.004,0.775643,-1.0,0,-0.063797,0.596,30.2,0.611536,4,1
195,382000,383000,0.674736,0.844272,0.487418,0.884295,0.395535,0.884352,0.781611,0.730585,0.166859,0.520872,0.64042,0.778183,0.183023,59.5,36.1,53.4,-1.0,0.756076,0.11736,0,-1.0,0.711036,0.909091,-1.0,0,2.201955,0,0,0.701489,-1.0,0.733188,0.224968,36.0,10,5,0.795978,0.0,0.597952,0.588976,0.171012,0.09,35.3,-1,0.674393,0.488093,0.544721,-1.0,0.529584,0.0,0.112201,0.317,0,0,-1,0.797542,0.800979,0.285194,0.602177,0,56.3,61.8,0.343203,0.011,0.644666,-1.0,0,-0.017919,0.317,62.1,0.533932,11,2
2134,653000,654000,0.653971,0.959624,0.942183,0.902884,0.268246,0.904664,0.977437,0.968956,0.189439,0.970231,0.638916,0.977687,0.190407,63.5,37.2,5.3,-1.0,0.997319,0.113356,0,-1.0,0.758201,0.984615,-1.0,0,3.319089,0,0,0.830488,-1.0,-0.335324,0.396133,36.0,64,10,0.824874,0.0,0.694142,0.658225,0.292716,0.093,37.0,-1,0.72055,0.03801,0.588713,-1.0,0.586527,0.0,0.113348,0.114,0,0,-1,0.821496,0.824341,0.941092,0.69427,9,54.3,79.3,2.14863,0.065,0.786158,-1.0,6,-0.003048,0.114,79.3,0.599849,65,4
174,520000,521000,0.774979,0.907374,0.879286,0.822102,0.317695,0.822096,0.905505,0.891184,0.045758,0.901505,0.676559,0.902315,0.029585,56.3,30.9,11.2,0.358516,0.992449,0.154804,0,1.910737,0.842177,0.0,10.690132,0,3.832583,0,35,0.859273,1.043546,0.0,0.540611,26.7,0,19,0.886135,0.444444,0.690276,0.712098,0.372801,0.011,29.2,2,0.805301,0.0,0.679176,2.857143,0.660462,0.972222,0.165496,0.139,16,0,7,0.888296,0.883245,0.877235,0.761971,5,41.4,73.0,0.0,0.036,0.844764,1.088519,4,0.0,0.139,72.8,0.706832,36,1
2160,456000,457000,0.710383,0.826969,0.786902,0.7457,0.665724,0.747711,0.820709,0.792783,0.683882,0.755072,0.733164,0.816155,0.767171,31.8,30.3,25.5,-1.0,0.82565,0.40046,0,-1.0,0.722649,0.983607,-1.0,0,0.999065,0,0,0.71788,-1.0,0.799162,0.375798,29.8,60,2,0.707671,0.0,0.69319,0.604237,0.364,0.482,31.9,-1,0.692706,0.277523,0.35742,-1.0,0.390445,0.0,0.384098,0.518,0,0,-1,0.685148,0.702048,0.49033,0.689221,0,31.1,29.8,0.140485,0.061,0.706772,-1.0,0,0.826451,0.518,30.6,0.402019,61,1
177,151000,152000,0.835566,0.869868,0.862184,0.847079,0.801993,0.847454,0.867664,0.868039,0.824349,0.865112,0.832237,0.86927,0.827474,22.4,21.4,16.4,0.066462,0.923993,0.508356,0,12.221918,0.837402,0.0,-15.046297,0,-1.0,0,13,0.857258,0.878749,0.0,0.533677,21.4,0,5,0.784374,0.214286,0.768054,0.641159,0.530438,0.0,21.4,1,0.783074,0.0,0.546456,2.692308,0.546456,0.928571,0.51648,0.602,3,0,4,0.784374,0.784374,0.658135,0.796744,0,22.1,23.3,0.0,0.014,0.830444,0.751068,0,0.0,0.602,23.8,0.546456,14,1
2166,285000,286000,0.348654,0.568241,0.320636,0.356619,0.172678,0.356483,0.587661,0.652783,0.09064,0.368794,0.28935,0.681969,0.10078,87.1,77.8,68.1,0.03939,0.783914,0.062888,0,48.880766,0.678975,0.714286,87.541984,0,3.448275,0,3,0.626834,1.964801,-0.522236,0.092406,77.9,10,11,0.687744,0.142857,0.62436,0.62436,0.03691,0.072,77.9,2,0.665636,-0.103921,0.138608,6.333333,0.139686,0.214286,-0.001112,0.101,2,0,15,0.689152,0.686277,0.249386,0.498341,0,82.1,84.4,0.702234,0.014,0.586231,7.505553,0,0.105545,0.101,90.0,0.139596,14,4
2150,563000,564000,0.491039,0.678314,0.727083,0.673775,0.20411,0.674082,0.708555,0.690163,0.1793,0.689832,0.496216,0.707317,0.145129,70.9,52.2,33.9,-1.0,0.94109,0.095387,0,-1.0,0.784601,0.979167,-1.0,0,3.317592,0,0,0.777171,-1.0,0.194062,0.316299,51.6,47,10,0.75137,0.0,0.66911,0.668064,0.212745,0.085,52.8,-1,0.736247,88.253717,0.412974,-1.0,0.419692,0.0,0.098587,0.113,0,0,-1,0.743593,0.744349,0.622971,0.668837,3,61.6,80.9,39.712594,0.048,0.732556,-1.0,1,0.71337,0.113,80.5,0.426428,48,9
177,21000,22000,0.824273,0.861,0.851091,0.841909,0.791227,0.841409,0.860773,0.858,0.684773,0.860591,0.821,0.862182,0.7965,21.8,19.6,15.1,0.062438,0.926561,0.538874,0,12.826322,0.837606,0.0,15.679743,0,0.979005,0,13,0.865552,0.863282,0.0,0.581985,19.6,0,5,0.791744,0.214286,0.756457,0.728215,0.530294,0.001,19.6,1,0.802598,0.0,0.570279,2.692308,0.570279,0.928571,0.524966,0.632,3,0,4,0.791744,0.791744,0.672581,0.796322,0,19.2,20.7,0.0,0.014,0.838875,0.751068,0,0.0,0.632,23.1,0.570279,14,4
175,521000,522000,0.653362,0.665209,0.654638,0.62559,0.615333,0.625648,0.647711,0.661716,0.606732,0.665195,0.650395,0.664941,0.651504,38.2,37.1,35.3,0.004551,0.643192,0.002552,0,-220.711702,0.543555,0.0,211.835297,0,0.964151,0,57,0.523073,-1.0,0.0,0.02633,36.8,0,2,0.522349,0.0,0.517496,0.518946,0.02633,0.389,36.8,3,0.538849,0.0,0.071471,3.0,0.062326,0.982759,0.006539,0.611,0,0,3,0.530062,0.530062,0.149799,0.502182,0,38.2,39.0,0.0,0.058,0.523073,0.0,0,0.0,0.611,38.8,0.071471,58,1
2129,479000,480000,0.919144,0.949242,0.931092,0.92194,0.826212,0.921321,0.947765,0.93886,0.908885,0.905692,0.893108,0.943015,0.75791,17.5,13.0,9.8,0.122129,0.951231,0.562717,0,7.421778,0.899558,0.470588,7.69812,0,0.940165,0,8,0.910523,1.028544,3.126079,0.637657,13.0,8,2,0.869619,0.176471,0.781282,0.741513,0.592143,0.357,13.0,2,0.877295,8.936657,0.708858,2.625,0.708858,0.470588,0.562717,0.643,3,0,3,0.869619,0.869619,0.786805,0.808831,0,16.2,18.6,1.805228,0.017,0.80388,0.517549,1,0.401864,0.643,18.6,0.708858,17,1
2164,255000,256000,0.554762,0.683621,0.563086,0.565441,0.412043,0.566516,0.622445,0.623996,0.254656,0.480406,0.573785,0.643793,0.256094,52.3,41.8,56.3,-1.0,0.742472,0.167482,0,-1.0,0.71048,0.947368,-1.0,0,1.99778,0,0,0.750973,-1.0,0.134962,0.392851,41.3,18,4,0.775359,0.0,0.62647,0.625673,0.29434,0.237,41.7,-1,0.672018,117.702109,0.442703,-1.0,0.44148,0.0,0.1688,0.27,0,0,-1,0.765744,0.774759,0.253857,0.628069,0,45.3,63.2,22.50139,0.019,0.724106,-1.0,0,0.58039,0.27,63.1,0.44846,19,1
